,LIME,CYYZ,EDDM,ZBAA,SBGL,LTFM,VIDP,KJFK,RJAA,LEMD,CYVR,ZSPD,OMDB,SAEZ,LFPG,EDDT,MMMX,EDDF,LFQQ,EGPH,EBBR,EHEH,EFRO,LDZA,LKPR,EETN,BIKF,FACT,ESSA,LPPT,LGAV,EFHK,EIDW
LIME,0.0,6671.136708671728,337.8149533285702,8032.26904485344,9300.145436141222,1608.6007846928012,6082.706185320692,6477.675550240074,9698.334104120337,1220.367427968824,8524.300246721084,9081.345720298381,4634.411696551434,11262.454460082292,654.1798188036887,809.2271754296073,9842.13188680207,492.550415734113,731.8948304163779,1461.4919162938756,697.6241308496129,716.9528370522909,2510.9812975034515,494.3715279576347,598.695349516173,1829.3731684707757,2826.491908642492,8900.787773541293,1647.7243899240607,1724.0154738241492,1457.2765076695869,1912.2938553387621,1433.663567238871
CYYZ,6671.136708671728,0.0,6639.638079367699,10560.263711728265,8271.186132408277,8171.274964889148,11639.223104050201,587.4088954268707,10299.375959386833,6058.631933989723,3346.065262820104,11414.11558758609,11080.592571500489,8985.871186138354,6018.511701618143,6477.895440186134,3247.890977992751,6342.662219553331,5973.892370679363,5342.430556810266,6043.2341631455665,6069.742465228985,6243.416783834656,7071.777341214486,6682.817209516884,6650.662663103135,4202.689344520942,13136.631844292497,6311.706893929508,5739.078245285105,8127.399159836934,6598.71606358994,5259.66456365284
EDDM,337.8149533285702,6639.638079367699,0.0,7721.985707506109,9616.447470619587,1547.9829132915345,5899.979912189503,6480.773715334404,9366.60393351221,1496.9693797182808,8340.059905344417,8778.291229474024,4563.68638327735,11571.029543749757,681.5692933331298,479.5750967765883,9844.86446381779,299.0736493547062,673.6101624423094,1330.3366233869128,596.828250612871,573.3926461914037,2179.5591456309016,435.372805823521,264.80111614065527,1491.5970050572942,2669.2628149565803,9179.18835595483,1317.3110466843007,1983.6079398270863,1517.8783303811158,1574.5399279099283,1381.2860601870107
ZBAA,8032.26904485344,10560.263711728265,7721.985707506109,0.0,17318.624718116444,7061.75886204329,3811.22316900493,10977.61138682235,2133.3180240322217,9206.378510653298,8491.592942617246,1098.8391881220052,5846.428408163956,19289.70928642004,8189.724353071151,7357.370941408385,12435.185662210233,7788.395209245619,8042.99692176469,7936.25672217657,7945.907748157385,7858.784279958065,6013.908578937793,7637.516242212898,7461.550939385754,6357.094712899396,7870.884193010363,12967.734897763023,6691.864080722933,9657.682879314776,7607.430542904929,6308.537771925007,8268.747197889683
SBGL,9300.145436141222,8271.186132408277,9616.447470619587,17318.624718116444,0.0,10271.767959942494,14063.511167522962,7729.093708099038,18531.195791108297,8146.258928316377,11212.325649046332,18271.284864397905,11884.360300095565,1995.428353470573,9184.123131785209,9999.899573136834,7665.076602134776,9568.283601551813,9339.141101101264,9529.814395113926,9432.38980302497,9519.607478719365,11451.376242794004,9684.845164511811,9879.080082772547,11021.75343361116,9842.304164811861,6087.871598998781,10709.342326685113,7714.979604082941,9730.98460712888,11078.85214073269,9192.749867185408
LTFM,1608.6007846928012,8171.274964889148,1547.9829132915345,7061.75886204329,10271.767959942494,0.0,4566.047060442222,8027.011333646928,8980.31098908937,2702.2488319417575,9588.351242168645,8021.792958328303,3027.9011773987722,12266.824206187948,2213.88650722904,1712.5684114372132,11389.29648462006,1837.858012568955,2221.5840343980844,2830.767342771072,2141.818322400416,2107.001771303601,2818.8505107888336,1135.558870168953,1489.3589955451396,2037.0282863908224,4087.246738830808,8429.362191332484,2177.481833179683,3211.7174335800105,552.3631359390542,2134.8799157182702,2924.4683551417634
VIDP,6082.706185320692,11639.223104050201,5899.979912189503,3811.22316900493,14063.511167522962,4566.047060442222,0.0,11754.94829850792,5909.250123279566,7255.328214906565,11138.384837166739,4292.294164011961,2183.190603769457,15794.490572393017,6565.92854943909,5785.915771305621,14662.708439597296,6121.185112535329,6501.080434257892,6836.246415386642,6399.817544030502,6331.400341379829,5439.118104243794,5589.209484397878,5714.970423703678,5200.6264450305825,7593.777972803409,9282.845350520629,5583.875141564338,7767.803301105655,4983.851376266188,5223.847444426262,7074.36258815461
KJFK,6477.675550240074,587.4088954268707,6480.773715334404,10977.61138682235,7729.093708099038,8027.011333646928,11754.94829850792,0.0,10829.468019943439,5762.025471470951,3929.667087827683,11872.965768605623,11000.82939708662,8534.711892841717,5833.386425117882,6367.419669376641,3365.6070797424704,6189.1542734461045,5807.873795019511,5224.818687727301,5885.3697807968165,5920.872953839785,6318.434484589655,6905.329783235579,6550.828678253268,6649.356410602336,4197.785190963327,12560.803274067739,6291.593874633475,5404.309620041176,7932.455806289573,6606.914800539541,5102.730002183939
RJAA,9698.334104120337,10299.375959386833,9366.60393351221,2133.3180240322217,18531.195791108297,8980.31098908937,5909.250123279566,10829.468019943439,0.0,10771.365389773611,7503.3643827802725,1795.1653470701212,7978.6421393820765,18297.19994521465,9709.31227814645,8941.163890156917,11253.545374395047,9366.014476753255,9543.069153437295,9254.53199963534,9457.890709909856,9372.118080501896,7370.85294938375,9373.225157229546,9102.009097801203,7898.436176812024,8798.321608971684,14780.473523154042,8170.395509786672,11153.913596141403,9532.669034889863,7828.74735963798,9590.00408587783
LEMD,1220.367427968824,6058.631933989723,1496.9693797182808,9206.378510653298,8146.258928316377,2702.2488319417575,7255.328214906565,5762.025471470951,10771.365389773611,0.0,8426.398460222947,10270.038168674499,5648.573067280119,10084.891062660701,1064.514287652328,1853.640992836451,9066.890918984103,1422.050572145159,1235.5813496072453,1721.1421621023853,1315.552739483112,1400.4404453661639,3422.0000222935455,1692.5382745319923,1750.6615229202562,2883.3149200833927,2888.0069315874402,8584.107113717999,2601.3493707511634,512.8845584370001,2377.4313326404604,2947.4320721225527,1454.225118962622
