,LIME,LIPZ,LICJ,LIMF,LIEE,LIPQ,LIEO,LIRN,LICC,LIMJ,LIPX,LIBP
LIME,0,1115,520,475,370,750,345,840,535,905,1195,515
LIPZ,1160,0,310,235,275,540,225,605,405,580,860,370
LICJ,495,330,0,140,185,215,155,400,365,235,300,190
LIMF,505,280,135,0,95,175,95,205,130,250,295,120
LIEE,405,210,175,110,0,165,120,260,180,185,220,135
LIPQ,740,665,260,175,165,0,175,380,230,325,540,260
LIEO,315,210,155,90,140,140,0,230,185,145,200,135
LIRN,745,570,400,255,250,375,245,0,430,405,520,455
LICC,525,350,325,125,195,290,170,415,0,290,370,205
LIMJ,815,465,230,260,175,335,175,385,260,0,475,205
LIPX,1310,720,300,295,240,565,215,540,275,545,0,355
LIBP,455,380,190,130,140,225,110,425,265,260,355,0
