,LIME,LIPZ,LICJ,LIMF,LIEE,LIPQ,LIEO,LIRN,LICC,LIMJ,LIPX,LIBP
LIME,0.0,207.10185589938538,878.4803365140244,168.74474090634754,715.5262037169343,294.1526200434595,528.6708838113896,648.6010845466559,1014.7595708983546,151.69941025901286,97.41048521790138,507.14231988438075
LIPZ,207.10185589938538,0.0,816.3883802720875,369.3796520562832,745.8239705090143,95.0134379601448,559.8079873790863,537.04221861884,921.5643418037614,294.2680052005242,114.72436646067514,369.61504742393083
LICJ,878.4803365140244,816.3883802720875,0.0,901.8836650509359,370.48213138558674,850.1865327356895,433.21335524446437,317.1799063799452,190.03730082481593,774.8726203936518,822.6893643075314,485.1389211343255
LIMF,168.74474090634754,369.3796520562832,901.8836650509359,0.0,671.6093169111722,460.32772731606127,499.6190783419862,722.0184144004432,1058.9242247453244,134.70893868532653,254.74767422481528,608.5866932436181
LIEE,715.5262037169343,745.8239705090143,370.48213138558674,671.6093169111722,0.0,815.5386914357754,188.97246889695452,480.7098828967607,560.1887053580385,574.1346621369325,699.5637560610178,561.752839854034
LIPQ,294.1526200434595,95.0134379601448,850.1865327356895,460.32772731606127,815.5386914357754,0.0,633.3556328166167,553.0055513087857,938.2953277032209,389.2760452334035,207.47453599238233,378.2701646630655
LIEO,528.6708838113896,559.8079873790863,433.21335524446437,499.6190783419862,188.97246889695452,633.3556328166167,0.0,402.3647064152434,613.9257076904332,391.5663161840385,510.59857225327437,427.5564311769401
LIRN,648.6010845466559,537.04221861884,317.1799063799452,722.0184144004432,480.7098828967607,553.0055513087857,402.3647064152434,0.0,385.7881123373926,587.3214164711571,572.3626568139288,175.54307045954312
LICC,1014.7595708983546,921.5643418037614,190.03730082481593,1058.9242247453244,560.1887053580385,938.2953277032209,613.9257076904332,385.7881123373926,0.0,927.407435426296,947.536309860769,560.0539037554024
LIMJ,151.69941025901286,294.2680052005242,774.8726203936518,134.70893868532653,574.1346621369325,389.2760452334035,391.5663161840385,587.3214164711571,927.407435426296,0.0,188.16243039840967,477.8354062969868
LIPX,97.41048521790138,114.72436646067514,822.6893643075314,254.74767422481528,699.5637560610178,207.47453599238233,510.59857225327437,572.3626568139288,947.536309860769,188.16243039840967,0.0,421.1589922373468
LIBP,507.14231988438075,369.61504742393083,485.1389211343255,608.5866932436181,561.752839854034,378.2701646630655,427.5564311769401,175.54307045954312,560.0539037554024,477.8354062969868,421.1589922373468,0.0
