,LIME,LIRQ,LICJ,LIBD,LIMF,LIPQ,LICA,LIRN,LIBP,LIMJ,LICC,LIEO
LIME,0,1055,465,560,525,780,365,850,500,745,575,320
LIRQ,1060,0,330,435,255,480,290,580,365,585,360,240
LICJ,505,320,0,290,115,230,265,430,205,220,345,135
LIBD,600,410,260,0,170,275,285,585,275,310,315,150
LIMF,550,265,145,165,0,215,110,215,135,255,125,85
LIPQ,660,525,220,270,175,0,225,370,260,355,275,160
LICA,470,295,255,240,110,205,0,375,195,215,290,110
LIRN,905,645,410,455,215,385,390,0,345,390,435,255
LIBP,485,365,215,300,130,240,190,430,0,215,265,145
LIMJ,865,470,215,285,270,325,180,290,240,0,260,165
LICC,595,390,395,290,150,245,290,420,240,240,0,175
LIEO,340,245,135,150,100,175,105,215,135,160,165,0
