,LIME,LIRQ,LICJ,LIBD,LIMF,LIPQ,LICA,LIRN,LIBP,LIMJ,LICC,LIEO
LIME,0.0,238.4021280492888,878.4803365140244,760.3420165465329,168.74474090634754,294.1526200434595,924.0044602677533,648.6010845466559,507.14231988438075,151.69941025901286,1014.7595708983546,528.6708838113896
LIRQ,238.4021280492888,0.0,645.5470247706211,543.7495211755354,321.78098535815957,287.4110197021972,688.338875828711,412.36924718227635,286.81046949463683,192.50383177804656,776.6412647485431,350.6162469018684
LICJ,878.4803365140244,645.5470247706211,0.0,453.61358855866223,901.8836650509359,850.1865327356895,284.92302907832163,317.1799063799452,485.1389211343255,774.8726203936518,190.03730082481593,433.21335524446437
LIBD,760.3420165465329,543.7495211755354,453.61358855866223,0.0,865.484163520528,584.0099681623598,251.78324692217413,209.02057816062083,256.9940851417994,734.1082926751164,433.13793068201005,609.0245981578363
LIMF,168.74474090634754,321.78098535815957,901.8836650509359,865.484163520528,0.0,460.32772731606127,995.9039381715309,722.0184144004432,608.5866932436181,134.70893868532653,1058.9242247453244,499.6190783419862
LIPQ,294.1526200434595,287.4110197021972,850.1865327356895,584.0099681623598,460.32772731606127,0.0,801.6269989965904,553.0055513087857,378.2701646630655,389.2760452334035,938.2953277032209,633.3556328166167
LICA,924.0044602677533,688.338875828711,284.92302907832163,251.78324692217413,995.9039381715309,801.6269989965904,0.0,275.98989892657465,430.66093265327066,861.2569681417225,190.2740718890136,616.838155942107
LIRN,648.6010845466559,412.36924718227635,317.1799063799452,209.02057816062083,722.0184144004432,553.0055513087857,275.98989892657465,0.0,175.54307045954312,587.3214164711571,385.7881123373926,402.3647064152434
LIBP,507.14231988438075,286.81046949463683,485.1389211343255,256.9940851417994,608.5866932436181,378.2701646630655,430.66093265327066,175.54307045954312,0.0,477.8354062969868,560.0539037554024,427.5564311769401
LIMJ,151.69941025901286,192.50383177804656,774.8726203936518,734.1082926751164,134.70893868532653,389.2760452334035,861.2569681417225,587.3214164711571,477.8354062969868,0.0,927.407435426296,391.5663161840385
LICC,1014.7595708983546,776.6412647485431,190.03730082481593,433.13793068201005,1058.9242247453244,938.2953277032209,190.2740718890136,385.7881123373926,560.0539037554024,927.407435426296,0.0,613.9257076904332
LIEO,528.6708838113896,350.6162469018684,433.21335524446437,609.0245981578363,499.6190783419862,633.3556328166167,616.838155942107,402.3647064152434,427.5564311769401,391.5663161840385,613.9257076904332,0.0
