,LIMC,LIBD,LICJ,LIMF,LIRQ,LIPQ,LICA,LIPE,LICC,LIPX,LIMJ,LIBP
LIMC,0,555,480,605,965,655,385,1000,570,1150,770,535
LIBD,450,0,240,145,410,285,285,430,310,375,265,295
LICJ,475,280,0,130,305,210,195,325,395,320,255,215
LIMF,545,165,130,0,280,185,105,325,145,270,235,110
LIRQ,1015,365,310,275,0,515,270,925,380,800,585,380
LIPQ,660,275,220,210,480,0,195,595,225,535,340,260
LICA,345,240,235,105,275,200,0,310,330,300,205,170
LIPE,1035,470,350,280,1010,600,290,0,375,1025,590,370
LICC,590,335,380,175,400,260,295,445,0,350,265,235
LIPX,1230,380,290,255,765,565,260,875,330,0,435,365
LIMJ,835,290,235,290,480,280,215,515,260,600,0,235
LIBP,425,300,160,110,385,265,170,345,275,310,215,0
