,LIMC,LIBD,LICJ,LIMF,LIRQ,LIPQ,LICA,LIPE,LICC,LIPX,LIMJ,LIBP
LIMC,0.0,818.9731280157985,903.5249424308819,95.96822823953899,281.9679723211067,371.0571326484466,969.824068984469,235.83801693006072,1049.253474302226,171.4812582560927,135.99709488778402,563.0864565604991
LIBD,818.9731280157985,0.0,453.61358855866223,865.484163520528,543.7495211755354,584.0099681623598,251.78324692217413,584.2308949803706,433.13793068201005,670.4890060345715,734.1082926751164,256.9940851417994
LICJ,903.5249424308819,453.61358855866223,0.0,901.8836650509359,645.5470247706211,850.1865327356895,284.92302907832163,722.3765317085819,190.03730082481593,822.6893643075314,774.8726203936518,485.1389211343255
LIMF,95.96822823953899,865.484163520528,901.8836650509359,0.0,321.78098535815957,460.32772731606127,995.9039381715309,296.6290530297057,1058.9242247453244,254.74767422481528,134.70893868532653,608.5866932436181
LIRQ,281.9679723211067,543.7495211755354,645.5470247706211,321.78098535815957,0.0,287.4110197021972,688.338875828711,81.11558050309372,776.6412647485431,178.1993673756379,192.50383177804656,286.81046949463683
LIPQ,371.0571326484466,584.0099681623598,850.1865327356895,460.32772731606127,287.4110197021972,0.0,801.6269989965904,223.88874095201498,938.2953277032209,207.47453599238233,389.2760452334035,378.2701646630655
LICA,969.824068984469,251.78324692217413,284.92302907832163,995.9039381715309,688.338875828711,801.6269989965904,0.0,748.562165677543,190.2740718890136,845.4181835763492,861.2569681417225,430.66093265327066
LIPE,235.83801693006072,584.2308949803706,722.3765317085819,296.6290530297057,81.11558050309372,223.88874095201498,748.562165677543,0.0,847.1963648962758,100.7035040556311,186.66082027961346,329.99083885324933
LICC,1049.253474302226,433.13793068201005,190.03730082481593,1058.9242247453244,776.6412647485431,938.2953277032209,190.2740718890136,847.1963648962758,0.0,947.536309860769,927.407435426296,560.0539037554024
LIPX,171.4812582560927,670.4890060345715,822.6893643075314,254.74767422481528,178.1993673756379,207.47453599238233,845.4181835763492,100.7035040556311,947.536309860769,0.0,188.16243039840967,421.1589922373468
LIMJ,135.99709488778402,734.1082926751164,774.8726203936518,134.70893868532653,192.50383177804656,389.2760452334035,861.2569681417225,186.66082027961346,927.407435426296,188.16243039840967,0.0,477.8354062969868
LIBP,563.0864565604991,256.9940851417994,485.1389211343255,608.5866932436181,286.81046949463683,378.2701646630655,430.66093265327066,329.99083885324933,560.0539037554024,421.1589922373468,477.8354062969868,0.0
