,LIRF,LICJ,LIRQ,LIMF,LIEE,LIPX,LICC,LIRN,LIPE,LICA,LIPQ,LIEO
LIRF,0,430,740,245,270,575,455,690,665,355,405,275
LICJ,405,0,320,145,155,320,380,455,405,205,230,145
LIRQ,740,335,0,265,275,720,415,585,1005,285,490,215
LIMF,270,145,280,0,105,335,160,200,295,100,180,105
LIEE,280,160,310,95,0,280,180,265,290,135,165,135
LIPX,630,285,670,285,210,0,340,545,870,285,495,230
LICC,450,380,415,155,190,360,0,465,505,345,245,165
LIRN,755,405,575,270,290,520,505,0,540,315,370,240
LIPE,730,350,1065,305,250,900,465,705,0,290,635,270
LICA,365,255,265,110,140,250,340,345,310,0,205,90
LIPQ,430,235,530,160,175,500,210,365,515,215,0,165
LIEO,260,150,250,105,120,230,150,215,240,110,145,0
