,LIRF,LICJ,LIRQ,LIMF,LIEE,LIPX,LICC,LIRN,LIPE,LICA,LIPQ,LIEO
LIRF,0.0,405.9911538876683,241.63410450431064,531.5390369527111,388.6524750922205,417.1929188793133,536.4549531429103,197.55130939035126,316.6443256864812,465.4862102032719,461.2208699321743,247.7461346826814
LICJ,405.9911538876683,0.0,645.5470247706211,901.8836650509359,370.48213138558674,822.6893643075314,190.03730082481593,317.1799063799452,722.3765317085819,284.92302907832163,850.1865327356895,433.21335524446437
LIRQ,241.63410450431064,645.5470247706211,0.0,321.78098535815957,537.2268652370694,178.1993673756379,776.6412647485431,412.36924718227635,81.11558050309372,688.338875828711,287.4110197021972,350.6162469018684
LIMF,531.5390369527111,901.8836650509359,321.78098535815957,0.0,671.6093169111722,254.74767422481528,1058.9242247453244,722.0184144004432,296.6290530297057,995.9039381715309,460.32772731606127,499.6190783419862
LIEE,388.6524750922205,370.48213138558674,537.2268652370694,671.6093169111722,0.0,699.5637560610178,560.1887053580385,480.7098828967607,615.8607141189885,621.4510342987924,815.5386914357754,188.97246889695452
LIPX,417.1929188793133,822.6893643075314,178.1993673756379,254.74767422481528,699.5637560610178,0.0,947.536309860769,572.3626568139288,100.7035040556311,845.4181835763492,207.47453599238233,510.59857225327437
LICC,536.4549531429103,190.03730082481593,776.6412647485431,1058.9242247453244,560.1887053580385,947.536309860769,0.0,385.7881123373926,847.1963648962758,190.2740718890136,938.2953277032209,613.9257076904332
LIRN,197.55130939035126,317.1799063799452,412.36924718227635,722.0184144004432,480.7098828967607,572.3626568139288,385.7881123373926,0.0,474.1552489402637,275.98989892657465,553.0055513087857,402.3647064152434
LIPE,316.6443256864812,722.3765317085819,81.11558050309372,296.6290530297057,615.8607141189885,100.7035040556311,847.1963648962758,474.1552489402637,0.0,748.562165677543,223.88874095201498,428.06325759440557
LICA,465.4862102032719,284.92302907832163,688.338875828711,995.9039381715309,621.4510342987924,845.4181835763492,190.2740718890136,275.98989892657465,748.562165677543,0.0,801.6269989965904,616.838155942107
LIPQ,461.2208699321743,850.1865327356895,287.4110197021972,460.32772731606127,815.5386914357754,207.47453599238233,938.2953277032209,553.0055513087857,223.88874095201498,801.6269989965904,0.0,633.3556328166167
LIEO,247.7461346826814,433.21335524446437,350.6162469018684,499.6190783419862,188.97246889695452,510.59857225327437,613.9257076904332,402.3647064152434,428.06325759440557,616.838155942107,633.3556328166167,0.0
