,LIME,LICJ,LIPZ,LIMF,LIEE,LIPE,LIRN,LIPQ,LICA,LICC,LIPX,LIEO
LIME,0.0,878.4803365140244,207.10185589938538,168.74474090634754,715.5262037169343,177.26745301972574,648.6010845466559,294.1526200434595,924.0044602677533,1014.7595708983546,97.41048521790138,528.6708838113896
LICJ,878.4803365140244,0.0,816.3883802720875,901.8836650509359,370.48213138558674,722.3765317085819,317.1799063799452,850.1865327356895,284.92302907832163,190.03730082481593,822.6893643075314,433.21335524446437
LIPZ,207.10185589938538,816.3883802720875,0.0,369.3796520562832,745.8239705090143,136.21270667141678,537.04221861884,95.0134379601448,800.2520916855747,921.5643418037614,114.72436646067514,559.8079873790863
LIMF,168.74474090634754,901.8836650509359,369.3796520562832,0.0,671.6093169111722,296.6290530297057,722.0184144004432,460.32772731606127,995.9039381715309,1058.9242247453244,254.74767422481528,499.6190783419862
LIEE,715.5262037169343,370.48213138558674,745.8239705090143,671.6093169111722,0.0,615.8607141189885,480.7098828967607,815.5386914357754,621.4510342987924,560.1887053580385,699.5637560610178,188.97246889695452
LIPE,177.26745301972574,722.3765317085819,136.21270667141678,296.6290530297057,615.8607141189885,0.0,474.1552489402637,223.88874095201498,748.562165677543,847.1963648962758,100.7035040556311,428.06325759440557
LIRN,648.6010845466559,317.1799063799452,537.04221861884,722.0184144004432,480.7098828967607,474.1552489402637,0.0,553.0055513087857,275.98989892657465,385.7881123373926,572.3626568139288,402.3647064152434
LIPQ,294.1526200434595,850.1865327356895,95.0134379601448,460.32772731606127,815.5386914357754,223.88874095201498,553.0055513087857,0.0,801.6269989965904,938.2953277032209,207.47453599238233,633.3556328166167
LICA,924.0044602677533,284.92302907832163,800.2520916855747,995.9039381715309,621.4510342987924,748.562165677543,275.98989892657465,801.6269989965904,0.0,190.2740718890136,845.4181835763492,616.838155942107
LICC,1014.7595708983546,190.03730082481593,921.5643418037614,1058.9242247453244,560.1887053580385,847.1963648962758,385.7881123373926,938.2953277032209,190.2740718890136,0.0,947.536309860769,613.9257076904332
LIPX,97.41048521790138,822.6893643075314,114.72436646067514,254.74767422481528,699.5637560610178,100.7035040556311,572.3626568139288,207.47453599238233,845.4181835763492,947.536309860769,0.0,510.59857225327437
LIEO,528.6708838113896,433.21335524446437,559.8079873790863,499.6190783419862,188.97246889695452,428.06325759440557,402.3647064152434,633.3556328166167,616.838155942107,613.9257076904332,510.59857225327437,0.0
