,LIME,LIPZ,LIEE,LIMF,LIBD,LICC,LIPY,LIPQ,LIBP,LIPX,LIMJ,LICA
LIME,0,1125,385,520,590,570,565,740,500,1170,915,415
LIPZ,1110,0,235,265,435,390,390,705,360,805,425,255
LIEE,335,225,0,95,165,175,185,155,125,240,185,120
LIMF,485,270,105,0,170,145,145,150,140,295,250,105
LIBD,565,410,210,145,0,400,250,280,265,420,255,250
LICC,505,365,185,145,290,0,230,290,235,350,285,300
LIPY,580,440,170,140,240,265,0,280,255,375,285,195
LIPQ,630,680,145,185,290,250,275,0,270,480,355,205
LIBP,465,340,150,120,290,245,285,245,0,365,250,185
LIPX,1375,865,235,250,430,320,410,530,310,0,485,215
LIMJ,760,485,190,245,305,280,285,295,230,550,0,180
LICA,385,300,130,115,265,330,185,180,190,285,220,0
