,LIME,LIPZ,LIEE,LIMF,LIBD,LICC,LIPY,LIPQ,LIBP,LIPX,LIMJ,LICA
LIME,0.0,207.10185589938538,715.5262037169343,168.74474090634754,760.3420165465329,1014.7595708983546,378.37698746402975,294.1526200434595,507.14231988438075,97.41048521790138,151.69941025901286,924.0044602677533
LIPZ,207.10185589938538,0.0,745.8239705090143,369.3796520562832,602.0790023931023,921.5643418037614,229.16127676643865,95.0134379601448,369.61504742393083,114.72436646067514,294.2680052005242,800.2520916855747
LIEE,715.5262037169343,745.8239705090143,0.0,671.6093169111722,686.5634986814619,560.1887053580385,611.2864181614883,815.5386914357754,561.752839854034,699.5637560610178,574.1346621369325,621.4510342987924
LIMF,168.74474090634754,369.3796520562832,671.6093169111722,0.0,865.484163520528,1058.9242247453244,498.52985016873737,460.32772731606127,608.5866932436181,254.74767422481528,134.70893868532653,995.9039381715309
LIBD,760.3420165465329,602.0790023931023,686.5634986814619,865.484163520528,0.0,433.13793068201005,383.19658761045935,584.0099681623598,256.9940851417994,670.4890060345715,734.1082926751164,251.78324692217413
LICC,1014.7595708983546,921.5643418037614,560.1887053580385,1058.9242247453244,433.13793068201005,0.0,696.1876103714313,938.2953277032209,560.0539037554024,947.536309860769,927.407435426296,190.2740718890136
LIPY,378.37698746402975,229.16127676643865,611.2864181614883,498.52985016873737,383.19658761045935,696.1876103714313,0.0,245.31509962208258,140.46136323564457,287.29879972228775,376.3343733315995,571.1194727176842
LIPQ,294.1526200434595,95.0134379601448,815.5386914357754,460.32772731606127,584.0099681623598,938.2953277032209,245.31509962208258,0.0,378.2701646630655,207.47453599238233,389.2760452334035,801.6269989965904
LIBP,507.14231988438075,369.61504742393083,561.752839854034,608.5866932436181,256.9940851417994,560.0539037554024,140.46136323564457,378.2701646630655,0.0,421.1589922373468,477.8354062969868,430.66093265327066
LIPX,97.41048521790138,114.72436646067514,699.5637560610178,254.74767422481528,670.4890060345715,947.536309860769,287.29879972228775,207.47453599238233,421.1589922373468,0.0,188.16243039840967,845.4181835763492
LIMJ,151.69941025901286,294.2680052005242,574.1346621369325,134.70893868532653,734.1082926751164,927.407435426296,376.3343733315995,389.2760452334035,477.8354062969868,188.16243039840967,0.0,861.2569681417225
LICA,924.0044602677533,800.2520916855747,621.4510342987924,995.9039381715309,251.78324692217413,190.2740718890136,571.1194727176842,801.6269989965904,430.66093265327066,845.4181835763492,861.2569681417225,0.0
