,LIME,LIPZ,LIBD,LIMF,LIRQ,LIRN,LIBP,LIMJ,LIEO,LIPX,LICA,LIPQ
LIME,0,1300,570,490,1010,820,475,765,355,1290,355,715
LIPZ,1065,0,410,260,715,600,375,520,215,845,265,670
LIBD,555,435,0,160,405,495,305,260,145,360,290,275
LIMF,510,285,165,0,270,215,130,255,90,290,110,200
LIRQ,1070,810,455,265,0,625,390,510,235,690,270,515
LIRN,890,540,515,250,550,0,375,465,240,505,355,435
LIBP,435,405,265,120,390,455,0,250,135,325,165,245
LIMJ,900,450,330,240,530,335,265,0,175,530,185,345
LIEO,315,260,170,100,235,225,130,150,0,235,105,150
LIPX,1395,855,410,305,785,570,295,490,220,0,250,520
LICA,420,300,275,100,235,360,180,190,105,245,0,185
LIPQ,665,675,270,180,450,395,240,345,155,490,225,0
