,LIME,LIPZ,LIBD,LIMF,LIRQ,LIRN,LIBP,LIMJ,LIEO,LIPX,LICA,LIPQ
LIME,0.0,207.10185589938538,760.3420165465329,168.74474090634754,238.4021280492888,648.6010845466559,507.14231988438075,151.69941025901286,528.6708838113896,97.41048521790138,924.0044602677533,294.1526200434595
LIPZ,207.10185589938538,0.0,602.0790023931023,369.3796520562832,209.22528539278827,537.04221861884,369.61504742393083,294.2680052005242,559.8079873790863,114.72436646067514,800.2520916855747,95.0134379601448
LIBD,760.3420165465329,602.0790023931023,0.0,865.484163520528,543.7495211755354,209.02057816062083,256.9940851417994,734.1082926751164,609.0245981578363,670.4890060345715,251.78324692217413,584.0099681623598
LIMF,168.74474090634754,369.3796520562832,865.484163520528,0.0,321.78098535815957,722.0184144004432,608.5866932436181,134.70893868532653,499.6190783419862,254.74767422481528,995.9039381715309,460.32772731606127
LIRQ,238.4021280492888,209.22528539278827,543.7495211755354,321.78098535815957,0.0,412.36924718227635,286.81046949463683,192.50383177804656,350.6162469018684,178.1993673756379,688.338875828711,287.4110197021972
LIRN,648.6010845466559,537.04221861884,209.02057816062083,722.0184144004432,412.36924718227635,0.0,175.54307045954312,587.3214164711571,402.3647064152434,572.3626568139288,275.98989892657465,553.0055513087857
LIBP,507.14231988438075,369.61504742393083,256.9940851417994,608.5866932436181,286.81046949463683,175.54307045954312,0.0,477.8354062969868,427.5564311769401,421.1589922373468,430.66093265327066,378.2701646630655
LIMJ,151.69941025901286,294.2680052005242,734.1082926751164,134.70893868532653,192.50383177804656,587.3214164711571,477.8354062969868,0.0,391.5663161840385,188.16243039840967,861.2569681417225,389.2760452334035
LIEO,528.6708838113896,559.8079873790863,609.0245981578363,499.6190783419862,350.6162469018684,402.3647064152434,427.5564311769401,391.5663161840385,0.0,510.59857225327437,616.838155942107,633.3556328166167
LIPX,97.41048521790138,114.72436646067514,670.4890060345715,254.74767422481528,178.1993673756379,572.3626568139288,421.1589922373468,188.16243039840967,510.59857225327437,0.0,845.4181835763492,207.47453599238233
LICA,924.0044602677533,800.2520916855747,251.78324692217413,995.9039381715309,688.338875828711,275.98989892657465,430.66093265327066,861.2569681417225,616.838155942107,845.4181835763492,0.0,801.6269989965904
LIPQ,294.1526200434595,95.0134379601448,584.0099681623598,460.32772731606127,287.4110197021972,553.0055513087857,378.2701646630655,389.2760452334035,633.3556328166167,207.47453599238233,801.6269989965904,0.0
