,LIME,LIEE,LIMF,LIPZ,LIBD,LIRN,LIBP,LIMJ,LIPQ,LICA,LIPX,LIEO
LIME,0,380,445,1030,620,900,460,870,560,385,1275,375
LIEE,360,0,100,200,185,255,130,175,160,140,215,135
LIMF,450,115,0,260,170,205,120,280,180,100,250,90
LIPZ,1000,245,280,0,400,545,345,480,805,295,780,200
LIBD,605,180,150,375,0,485,290,250,355,295,375,140
LIRN,835,260,220,570,570,0,445,435,405,380,565,230
LIBP,450,135,120,365,290,425,0,220,275,195,335,140
LIMJ,850,165,240,515,250,355,265,0,350,190,505,170
LIPQ,785,160,185,680,305,425,280,265,0,220,560,145
LICA,380,120,110,355,285,400,200,205,190,0,270,110
LIPX,1185,230,255,855,350,515,325,510,540,275,0,230
LIEO,325,135,95,205,175,225,100,190,175,110,215,0
