,LIME,LIEE,LIMF,LIPZ,LIBD,LIRN,LIBP,LIMJ,LIPQ,LICA,LIPX,LIEO
LIME,0.0,715.5262037169343,168.74474090634754,207.10185589938538,760.3420165465329,648.6010845466559,507.14231988438075,151.69941025901286,294.1526200434595,924.0044602677533,97.41048521790138,528.6708838113896
LIEE,715.5262037169343,0.0,671.6093169111722,745.8239705090143,686.5634986814619,480.7098828967607,561.752839854034,574.1346621369325,815.5386914357754,621.4510342987924,699.5637560610178,188.97246889695452
LIMF,168.74474090634754,671.6093169111722,0.0,369.3796520562832,865.484163520528,722.0184144004432,608.5866932436181,134.70893868532653,460.32772731606127,995.9039381715309,254.74767422481528,499.6190783419862
LIPZ,207.10185589938538,745.8239705090143,369.3796520562832,0.0,602.0790023931023,537.04221861884,369.61504742393083,294.2680052005242,95.0134379601448,800.2520916855747,114.72436646067514,559.8079873790863
LIBD,760.3420165465329,686.5634986814619,865.484163520528,602.0790023931023,0.0,209.02057816062083,256.9940851417994,734.1082926751164,584.0099681623598,251.78324692217413,670.4890060345715,609.0245981578363
LIRN,648.6010845466559,480.7098828967607,722.0184144004432,537.04221861884,209.02057816062083,0.0,175.54307045954312,587.3214164711571,553.0055513087857,275.98989892657465,572.3626568139288,402.3647064152434
LIBP,507.14231988438075,561.752839854034,608.5866932436181,369.61504742393083,256.9940851417994,175.54307045954312,0.0,477.8354062969868,378.2701646630655,430.66093265327066,421.1589922373468,427.5564311769401
LIMJ,151.69941025901286,574.1346621369325,134.70893868532653,294.2680052005242,734.1082926751164,587.3214164711571,477.8354062969868,0.0,389.2760452334035,861.2569681417225,188.16243039840967,391.5663161840385
LIPQ,294.1526200434595,815.5386914357754,460.32772731606127,95.0134379601448,584.0099681623598,553.0055513087857,378.2701646630655,389.2760452334035,0.0,801.6269989965904,207.47453599238233,633.3556328166167
LICA,924.0044602677533,621.4510342987924,995.9039381715309,800.2520916855747,251.78324692217413,275.98989892657465,430.66093265327066,861.2569681417225,801.6269989965904,0.0,845.4181835763492,616.838155942107
LIPX,97.41048521790138,699.5637560610178,254.74767422481528,114.72436646067514,670.4890060345715,572.3626568139288,421.1589922373468,188.16243039840967,207.47453599238233,845.4181835763492,0.0,510.59857225327437
LIEO,528.6708838113896,188.97246889695452,499.6190783419862,559.8079873790863,609.0245981578363,402.3647064152434,427.5564311769401,391.5663161840385,633.3556328166167,616.838155942107,510.59857225327437,0.0
