,LIME,LIPZ,LIMF,LIEE,LIRQ,LIBP,LIRN,LIPY,LICC,LIEO,LIPX,LICA
LIME,0,1185,450,310,1070,490,735,590,580,315,1285,360
LIPZ,1010,0,250,240,780,330,540,370,370,220,810,290
LIMF,465,290,0,100,265,130,235,140,170,90,275,125
LIEE,335,240,105,0,225,155,260,155,185,135,245,125
LIRQ,915,820,255,245,0,375,590,455,430,235,785,315
LIBP,510,305,130,135,375,0,420,240,230,130,310,180
LIRN,830,565,205,290,550,405,0,375,515,215,555,415
LIPY,480,440,135,140,450,275,325,0,250,130,330,185
LICC,570,380,140,180,410,210,405,255,0,170,385,245
LIEO,355,210,95,135,255,110,235,145,175,0,205,120
LIPX,1150,895,295,230,655,310,455,415,365,245,0,295
LICA,450,300,105,125,300,195,355,180,275,115,275,0
