,LIME,LIPZ,LIMF,LIEE,LIRQ,LIBP,LIRN,LIPY,LICC,LIEO,LIPX,LICA
LIME,0.0,207.10185589938538,168.74474090634754,715.5262037169343,238.4021280492888,507.14231988438075,648.6010845466559,378.37698746402975,1014.7595708983546,528.6708838113896,97.41048521790138,924.0044602677533
LIPZ,207.10185589938538,0.0,369.3796520562832,745.8239705090143,209.22528539278827,369.61504742393083,537.04221861884,229.16127676643865,921.5643418037614,559.8079873790863,114.72436646067514,800.2520916855747
LIMF,168.74474090634754,369.3796520562832,0.0,671.6093169111722,321.78098535815957,608.5866932436181,722.0184144004432,498.52985016873737,1058.9242247453244,499.6190783419862,254.74767422481528,995.9039381715309
LIEE,715.5262037169343,745.8239705090143,671.6093169111722,0.0,537.2268652370694,561.752839854034,480.7098828967607,611.2864181614883,560.1887053580385,188.97246889695452,699.5637560610178,621.4510342987924
LIRQ,238.4021280492888,209.22528539278827,321.78098535815957,537.2268652370694,0.0,286.81046949463683,412.36924718227635,187.3098939577766,776.6412647485431,350.6162469018684,178.1993673756379,688.338875828711
LIBP,507.14231988438075,369.61504742393083,608.5866932436181,561.752839854034,286.81046949463683,0.0,175.54307045954312,140.46136323564457,560.0539037554024,427.5564311769401,421.1589922373468,430.66093265327066
LIRN,648.6010845466559,537.04221861884,722.0184144004432,480.7098828967607,412.36924718227635,175.54307045954312,0.0,310.4425313768006,385.7881123373926,402.3647064152434,572.3626568139288,275.98989892657465
LIPY,378.37698746402975,229.16127676643865,498.52985016873737,611.2864181614883,187.3098939577766,140.46136323564457,310.4425313768006,0.0,696.1876103714313,446.4365486464428,287.29879972228775,571.1194727176842
LICC,1014.7595708983546,921.5643418037614,1058.9242247453244,560.1887053580385,776.6412647485431,560.0539037554024,385.7881123373926,696.1876103714313,0.0,613.9257076904332,947.536309860769,190.2740718890136
LIEO,528.6708838113896,559.8079873790863,499.6190783419862,188.97246889695452,350.6162469018684,427.5564311769401,402.3647064152434,446.4365486464428,613.9257076904332,0.0,510.59857225327437,616.838155942107
LIPX,97.41048521790138,114.72436646067514,254.74767422481528,699.5637560610178,178.1993673756379,421.1589922373468,572.3626568139288,287.29879972228775,947.536309860769,510.59857225327437,0.0,845.4181835763492
LICA,924.0044602677533,800.2520916855747,995.9039381715309,621.4510342987924,688.338875828711,430.66093265327066,275.98989892657465,571.1194727176842,190.2740718890136,616.838155942107,845.4181835763492,0.0
