,LIMC,LIEE,LIMF,LIPZ,LIBD,LICC,LICA,LIRN,LIPY,LIMJ,LIPX,LIPQ
LIMC,0,320,575,855,530,560,395,800,550,950,1200,740
LIEE,330,0,105,200,155,215,130,260,140,155,235,175
LIMF,595,105,0,275,145,160,105,215,155,230,285,190
LIPZ,980,230,285,0,385,395,275,610,435,515,805,630
LIBD,515,195,165,370,0,315,290,510,280,280,375,275
LICC,535,215,175,400,315,0,270,425,255,265,355,290
LICA,400,125,105,270,275,300,0,335,175,210,235,170
LIRN,770,245,225,545,535,470,340,0,405,325,565,415
LIPY,560,150,160,470,310,275,160,405,0,305,430,340
LIMJ,735,190,240,480,245,225,175,415,280,0,500,315
LIPX,1165,215,280,750,335,335,300,640,320,510,0,475
LIPQ,690,140,170,670,295,285,160,440,370,365,465,0
