,LIMC,LIEE,LIMF,LIPZ,LIBD,LICC,LICA,LIRN,LIPY,LIMJ,LIPX,LIPQ
LIMC,0.0,709.4088650176761,95.96822823953899,283.56992275991195,818.9731280157985,1049.253474302226,969.824068984469,693.8568431958141,440.9006255490328,135.99709488778402,171.4812582560927,371.0571326484466
LIEE,709.4088650176761,0.0,671.6093169111722,745.8239705090143,686.5634986814619,560.1887053580385,621.4510342987924,480.7098828967607,611.2864181614883,574.1346621369325,699.5637560610178,815.5386914357754
LIMF,95.96822823953899,671.6093169111722,0.0,369.3796520562832,865.484163520528,1058.9242247453244,995.9039381715309,722.0184144004432,498.52985016873737,134.70893868532653,254.74767422481528,460.32772731606127
LIPZ,283.56992275991195,745.8239705090143,369.3796520562832,0.0,602.0790023931023,921.5643418037614,800.2520916855747,537.04221861884,229.16127676643865,294.2680052005242,114.72436646067514,95.0134379601448
LIBD,818.9731280157985,686.5634986814619,865.484163520528,602.0790023931023,0.0,433.13793068201005,251.78324692217413,209.02057816062083,383.19658761045935,734.1082926751164,670.4890060345715,584.0099681623598
LICC,1049.253474302226,560.1887053580385,1058.9242247453244,921.5643418037614,433.13793068201005,0.0,190.2740718890136,385.7881123373926,696.1876103714313,927.407435426296,947.536309860769,938.2953277032209
LICA,969.824068984469,621.4510342987924,995.9039381715309,800.2520916855747,251.78324692217413,190.2740718890136,0.0,275.98989892657465,571.1194727176842,861.2569681417225,845.4181835763492,801.6269989965904
LIRN,693.8568431958141,480.7098828967607,722.0184144004432,537.04221861884,209.02057816062083,385.7881123373926,275.98989892657465,0.0,310.4425313768006,587.3214164711571,572.3626568139288,553.0055513087857
LIPY,440.9006255490328,611.2864181614883,498.52985016873737,229.16127676643865,383.19658761045935,696.1876103714313,571.1194727176842,310.4425313768006,0.0,376.3343733315995,287.29879972228775,245.31509962208258
LIMJ,135.99709488778402,574.1346621369325,134.70893868532653,294.2680052005242,734.1082926751164,927.407435426296,861.2569681417225,587.3214164711571,376.3343733315995,0.0,188.16243039840967,389.2760452334035
LIPX,171.4812582560927,699.5637560610178,254.74767422481528,114.72436646067514,670.4890060345715,947.536309860769,845.4181835763492,572.3626568139288,287.29879972228775,188.16243039840967,0.0,207.47453599238233
LIPQ,371.0571326484466,815.5386914357754,460.32772731606127,95.0134379601448,584.0099681623598,938.2953277032209,801.6269989965904,553.0055513087857,245.31509962208258,389.2760452334035,207.47453599238233,0.0
