,LIMC,LICJ,LIRQ,LIMF,LIPZ,LICA,LIBP,LIEO,LIPQ,LIPX,LIPE,LIRN
LIMC,0.0,903.5249424308819,281.9679723211067,95.96822823953899,283.56992275991195,969.824068984469,563.0864565604991,527.5565602377338,371.0571326484466,171.4812582560927,235.83801693006072,693.8568431958141
LICJ,903.5249424308819,0.0,645.5470247706211,901.8836650509359,816.3883802720875,284.92302907832163,485.1389211343255,433.21335524446437,850.1865327356895,822.6893643075314,722.3765317085819,317.1799063799452
LIRQ,281.9679723211067,645.5470247706211,0.0,321.78098535815957,209.22528539278827,688.338875828711,286.81046949463683,350.6162469018684,287.4110197021972,178.1993673756379,81.11558050309372,412.36924718227635
LIMF,95.96822823953899,901.8836650509359,321.78098535815957,0.0,369.3796520562832,995.9039381715309,608.5866932436181,499.6190783419862,460.32772731606127,254.74767422481528,296.6290530297057,722.0184144004432
LIPZ,283.56992275991195,816.3883802720875,209.22528539278827,369.3796520562832,0.0,800.2520916855747,369.61504742393083,559.8079873790863,95.0134379601448,114.72436646067514,136.21270667141678,537.04221861884
LICA,969.824068984469,284.92302907832163,688.338875828711,995.9039381715309,800.2520916855747,0.0,430.66093265327066,616.838155942107,801.6269989965904,845.4181835763492,748.562165677543,275.98989892657465
LIBP,563.0864565604991,485.1389211343255,286.81046949463683,608.5866932436181,369.61504742393083,430.66093265327066,0.0,427.5564311769401,378.2701646630655,421.1589922373468,329.99083885324933,175.54307045954312
LIEO,527.5565602377338,433.21335524446437,350.6162469018684,499.6190783419862,559.8079873790863,616.838155942107,427.5564311769401,0.0,633.3556328166167,510.59857225327437,428.06325759440557,402.3647064152434
LIPQ,371.0571326484466,850.1865327356895,287.4110197021972,460.32772731606127,95.0134379601448,801.6269989965904,378.2701646630655,633.3556328166167,0.0,207.47453599238233,223.88874095201498,553.0055513087857
LIPX,171.4812582560927,822.6893643075314,178.1993673756379,254.74767422481528,114.72436646067514,845.4181835763492,421.1589922373468,510.59857225327437,207.47453599238233,0.0,100.7035040556311,572.3626568139288
LIPE,235.83801693006072,722.3765317085819,81.11558050309372,296.6290530297057,136.21270667141678,748.562165677543,329.99083885324933,428.06325759440557,223.88874095201498,100.7035040556311,0.0,474.1552489402637
LIRN,693.8568431958141,317.1799063799452,412.36924718227635,722.0184144004432,537.04221861884,275.98989892657465,175.54307045954312,402.3647064152434,553.0055513087857,572.3626568139288,474.1552489402637,0.0
