,LIMC,LICJ,LIPZ,LIBD,LIEE,LIPY,LICA,LIPX,LIEO,LIBP,LIMJ,LIRN
LIMC,0,500,1095,480,375,455,395,1160,295,475,815,810
LICJ,495,0,305,275,170,240,240,270,140,195,245,400
LIPZ,1055,320,0,400,200,500,300,805,205,390,470,575
LIBD,545,260,350,0,165,265,275,380,145,230,285,465
LIEE,335,165,230,185,0,135,120,200,135,150,195,265
LIPY,545,165,445,260,155,0,210,375,150,260,285,425
LICA,405,260,325,280,125,180,0,210,120,155,200,375
LIPX,990,350,800,380,275,420,260,0,210,360,535,475
LIEO,350,150,245,145,135,165,110,235,0,140,195,190
LIBP,445,230,335,275,130,265,180,320,145,0,195,485
LIMJ,970,205,545,295,200,270,180,525,175,275,0,415
LIRN,780,290,535,560,255,365,310,490,210,345,390,0
