,LIMC,LICJ,LIPZ,LIBD,LIEE,LIPY,LICA,LIPX,LIEO,LIBP,LIMJ,LIRN
LIMC,0.0,903.5249424308819,283.56992275991195,818.9731280157985,709.4088650176761,440.9006255490328,969.824068984469,171.4812582560927,527.5565602377338,563.0864565604991,135.99709488778402,693.8568431958141
LICJ,903.5249424308819,0.0,816.3883802720875,453.61358855866223,370.48213138558674,605.3021942734432,284.92302907832163,822.6893643075314,433.21335524446437,485.1389211343255,774.8726203936518,317.1799063799452
LIPZ,283.56992275991195,816.3883802720875,0.0,602.0790023931023,745.8239705090143,229.16127676643865,800.2520916855747,114.72436646067514,559.8079873790863,369.61504742393083,294.2680052005242,537.04221861884
LIBD,818.9731280157985,453.61358855866223,602.0790023931023,0.0,686.5634986814619,383.19658761045935,251.78324692217413,670.4890060345715,609.0245981578363,256.9940851417994,734.1082926751164,209.02057816062083
LIEE,709.4088650176761,370.48213138558674,745.8239705090143,686.5634986814619,0.0,611.2864181614883,621.4510342987924,699.5637560610178,188.97246889695452,561.752839854034,574.1346621369325,480.7098828967607
LIPY,440.9006255490328,605.3021942734432,229.16127676643865,383.19658761045935,611.2864181614883,0.0,571.1194727176842,287.29879972228775,446.4365486464428,140.46136323564457,376.3343733315995,310.4425313768006
LICA,969.824068984469,284.92302907832163,800.2520916855747,251.78324692217413,621.4510342987924,571.1194727176842,0.0,845.4181835763492,616.838155942107,430.66093265327066,861.2569681417225,275.98989892657465
LIPX,171.4812582560927,822.6893643075314,114.72436646067514,670.4890060345715,699.5637560610178,287.29879972228775,845.4181835763492,0.0,510.59857225327437,421.1589922373468,188.16243039840967,572.3626568139288
LIEO,527.5565602377338,433.21335524446437,559.8079873790863,609.0245981578363,188.97246889695452,446.4365486464428,616.838155942107,510.59857225327437,0.0,427.5564311769401,391.5663161840385,402.3647064152434
LIBP,563.0864565604991,485.1389211343255,369.61504742393083,256.9940851417994,561.752839854034,140.46136323564457,430.66093265327066,421.1589922373468,427.5564311769401,0.0,477.8354062969868,175.54307045954312
LIMJ,135.99709488778402,774.8726203936518,294.2680052005242,734.1082926751164,574.1346621369325,376.3343733315995,861.2569681417225,188.16243039840967,391.5663161840385,477.8354062969868,0.0,587.3214164711571
LIRN,693.8568431958141,317.1799063799452,537.04221861884,209.02057816062083,480.7098828967607,310.4425313768006,275.98989892657465,572.3626568139288,402.3647064152434,175.54307045954312,587.3214164711571,0.0
