,LIMC,LICJ,LIEE,LIBD,LIRQ,LIRN,LIPY,LIEO,LIPE,LIBP,LIMJ,LIPQ
LIMC,0,485,305,625,985,725,575,290,1210,465,790,670
LICJ,455,0,190,255,320,415,200,140,385,205,230,190
LIEE,325,175,0,185,225,235,140,115,290,145,180,170
LIBD,505,300,185,0,435,520,280,130,445,300,235,280
LIRQ,1120,385,220,385,0,605,475,215,1065,390,475,495
LIRN,820,350,265,520,530,0,360,230,595,415,390,400
LIPY,540,205,180,255,430,370,0,140,485,270,305,325
LIEO,340,155,135,155,235,285,145,0,260,140,195,170
LIPE,1015,345,250,405,970,640,435,225,0,370,595,550
LIBP,435,205,145,220,380,440,250,130,370,0,260,245
LIMJ,825,215,170,230,495,385,265,180,575,285,0,335
LIPQ,650,210,160,315,455,375,305,150,585,265,290,0
