,LIMC,LICJ,LIEE,LIBD,LIRQ,LIRN,LIPY,LIEO,LIPE,LIBP,LIMJ,LIPQ
LIMC,0.0,903.5249424308819,709.4088650176761,818.9731280157985,281.9679723211067,693.8568431958141,440.9006255490328,527.5565602377338,235.83801693006072,563.0864565604991,135.99709488778402,371.0571326484466
LICJ,903.5249424308819,0.0,370.48213138558674,453.61358855866223,645.5470247706211,317.1799063799452,605.3021942734432,433.21335524446437,722.3765317085819,485.1389211343255,774.8726203936518,850.1865327356895
LIEE,709.4088650176761,370.48213138558674,0.0,686.5634986814619,537.2268652370694,480.7098828967607,611.2864181614883,188.97246889695452,615.8607141189885,561.752839854034,574.1346621369325,815.5386914357754
LIBD,818.9731280157985,453.61358855866223,686.5634986814619,0.0,543.7495211755354,209.02057816062083,383.19658761045935,609.0245981578363,584.2308949803706,256.9940851417994,734.1082926751164,584.0099681623598
LIRQ,281.9679723211067,645.5470247706211,537.2268652370694,543.7495211755354,0.0,412.36924718227635,187.3098939577766,350.6162469018684,81.11558050309372,286.81046949463683,192.50383177804656,287.4110197021972
LIRN,693.8568431958141,317.1799063799452,480.7098828967607,209.02057816062083,412.36924718227635,0.0,310.4425313768006,402.3647064152434,474.1552489402637,175.54307045954312,587.3214164711571,553.0055513087857
LIPY,440.9006255490328,605.3021942734432,611.2864181614883,383.19658761045935,187.3098939577766,310.4425313768006,0.0,446.4365486464428,205.19275098901252,140.46136323564457,376.3343733315995,245.31509962208258
LIEO,527.5565602377338,433.21335524446437,188.97246889695452,609.0245981578363,350.6162469018684,402.3647064152434,446.4365486464428,0.0,428.06325759440557,427.5564311769401,391.5663161840385,633.3556328166167
LIPE,235.83801693006072,722.3765317085819,615.8607141189885,584.2308949803706,81.11558050309372,474.1552489402637,205.19275098901252,428.06325759440557,0.0,329.99083885324933,186.66082027961346,223.88874095201498
LIBP,563.0864565604991,485.1389211343255,561.752839854034,256.9940851417994,286.81046949463683,175.54307045954312,140.46136323564457,427.5564311769401,329.99083885324933,0.0,477.8354062969868,378.2701646630655
LIMJ,135.99709488778402,774.8726203936518,574.1346621369325,734.1082926751164,192.50383177804656,587.3214164711571,376.3343733315995,391.5663161840385,186.66082027961346,477.8354062969868,0.0,389.2760452334035
LIPQ,371.0571326484466,850.1865327356895,815.5386914357754,584.0099681623598,287.4110197021972,553.0055513087857,245.31509962208258,633.3556328166167,223.88874095201498,378.2701646630655,389.2760452334035,0.0
