,LIRF,LIEE,LIPZ,LIMF,LIBD,LIEO,LIPQ,LIPY,LICC,LIBP,LIPX,LICA
LIRF,0,280,615,275,455,310,435,385,460,380,665,375
LIEE,285,0,235,100,140,140,170,135,210,125,220,145
LIPZ,560,225,0,250,420,210,570,395,350,325,840,255
LIMF,225,85,255,0,170,90,190,140,150,125,285,110
LIBD,440,170,405,160,0,170,285,280,350,280,435,280
LIEO,250,110,225,95,145,0,165,125,170,145,220,120
LIPQ,480,140,735,175,270,165,0,305,300,255,510,200
LIPY,450,150,430,145,235,145,295,0,235,280,320,195
LICC,505,210,345,150,345,135,275,275,0,215,380,230
LIBP,400,150,370,130,275,125,270,260,235,0,335,210
LIPX,585,205,885,255,320,235,500,415,345,315,0,285
LICA,315,140,310,100,260,120,185,165,320,200,245,0
