,LIRF,LIEE,LIPZ,LIMF,LIBD,LIEO,LIPQ,LIPY,LICC,LIBP,LIPX,LICA
LIRF,0.0,388.6524750922205,414.8161755043181,531.5390369527111,382.9677368737012,247.7461346826814,461.2208699321743,230.00628501517141,536.4549531429103,180.07755319797792,417.1929188793133,465.4862102032719
LIEE,388.6524750922205,0.0,745.8239705090143,671.6093169111722,686.5634986814619,188.97246889695452,815.5386914357754,611.2864181614883,560.1887053580385,561.752839854034,699.5637560610178,621.4510342987924
LIPZ,414.8161755043181,745.8239705090143,0.0,369.3796520562832,602.0790023931023,559.8079873790863,95.0134379601448,229.16127676643865,921.5643418037614,369.61504742393083,114.72436646067514,800.2520916855747
LIMF,531.5390369527111,671.6093169111722,369.3796520562832,0.0,865.484163520528,499.6190783419862,460.32772731606127,498.52985016873737,1058.9242247453244,608.5866932436181,254.74767422481528,995.9039381715309
LIBD,382.9677368737012,686.5634986814619,602.0790023931023,865.484163520528,0.0,609.0245981578363,584.0099681623598,383.19658761045935,433.13793068201005,256.9940851417994,670.4890060345715,251.78324692217413
LIEO,247.7461346826814,188.97246889695452,559.8079873790863,499.6190783419862,609.0245981578363,0.0,633.3556328166167,446.4365486464428,613.9257076904332,427.5564311769401,510.59857225327437,616.838155942107
LIPQ,461.2208699321743,815.5386914357754,95.0134379601448,460.32772731606127,584.0099681623598,633.3556328166167,0.0,245.31509962208258,938.2953277032209,378.2701646630655,207.47453599238233,801.6269989965904
LIPY,230.00628501517141,611.2864181614883,229.16127676643865,498.52985016873737,383.19658761045935,446.4365486464428,245.31509962208258,0.0,696.1876103714313,140.46136323564457,287.29879972228775,571.1194727176842
LICC,536.4549531429103,560.1887053580385,921.5643418037614,1058.9242247453244,433.13793068201005,613.9257076904332,938.2953277032209,696.1876103714313,0.0,560.0539037554024,947.536309860769,190.2740718890136
LIBP,180.07755319797792,561.752839854034,369.61504742393083,608.5866932436181,256.9940851417994,427.5564311769401,378.2701646630655,140.46136323564457,560.0539037554024,0.0,421.1589922373468,430.66093265327066
LIPX,417.1929188793133,699.5637560610178,114.72436646067514,254.74767422481528,670.4890060345715,510.59857225327437,207.47453599238233,287.29879972228775,947.536309860769,421.1589922373468,0.0,845.4181835763492
LICA,465.4862102032719,621.4510342987924,800.2520916855747,995.9039381715309,251.78324692217413,616.838155942107,801.6269989965904,571.1194727176842,190.2740718890136,430.66093265327066,845.4181835763492,0.0
