,LIME,LICJ,LIRQ,LIBD,LIPZ,LIEO,LIBP,LIPQ,LICC,LIPY,LIRN,LIPX
LIME,0,420,1105,650,1195,375,440,760,460,450,760,1225
LICJ,465,0,360,265,340,160,215,235,315,205,420,295
LIRQ,985,310,0,375,595,260,395,500,380,385,625,675
LIBD,485,300,385,0,405,145,250,320,360,260,550,370
LIPZ,1235,340,695,375,0,225,365,675,330,480,565,820
LIEO,305,135,275,155,220,0,135,165,165,160,225,220
LIBP,470,195,335,335,400,125,0,260,250,295,410,350
LIPQ,765,230,470,260,710,145,235,0,230,355,395,575
LICC,545,340,425,355,395,160,260,260,0,265,420,395
LIPY,535,225,420,275,380,145,280,305,275,0,355,430
LIRN,775,470,545,470,575,260,460,395,505,370,0,505
LIPX,1365,320,675,340,775,230,360,480,355,370,565,0
