,LIME,LICJ,LIRQ,LIBD,LIPZ,LIEO,LIBP,LIPQ,LICC,LIPY,LIRN,LIPX
LIME,0.0,878.4803365140244,238.4021280492888,760.3420165465329,207.10185589938538,528.6708838113896,507.14231988438075,294.1526200434595,1014.7595708983546,378.37698746402975,648.6010845466559,97.41048521790138
LICJ,878.4803365140244,0.0,645.5470247706211,453.61358855866223,816.3883802720875,433.21335524446437,485.1389211343255,850.1865327356895,190.03730082481593,605.3021942734432,317.1799063799452,822.6893643075314
LIRQ,238.4021280492888,645.5470247706211,0.0,543.7495211755354,209.22528539278827,350.6162469018684,286.81046949463683,287.4110197021972,776.6412647485431,187.3098939577766,412.36924718227635,178.1993673756379
LIBD,760.3420165465329,453.61358855866223,543.7495211755354,0.0,602.0790023931023,609.0245981578363,256.9940851417994,584.0099681623598,433.13793068201005,383.19658761045935,209.02057816062083,670.4890060345715
LIPZ,207.10185589938538,816.3883802720875,209.22528539278827,602.0790023931023,0.0,559.8079873790863,369.61504742393083,95.0134379601448,921.5643418037614,229.16127676643865,537.04221861884,114.72436646067514
LIEO,528.6708838113896,433.21335524446437,350.6162469018684,609.0245981578363,559.8079873790863,0.0,427.5564311769401,633.3556328166167,613.9257076904332,446.4365486464428,402.3647064152434,510.59857225327437
LIBP,507.14231988438075,485.1389211343255,286.81046949463683,256.9940851417994,369.61504742393083,427.5564311769401,0.0,378.2701646630655,560.0539037554024,140.46136323564457,175.54307045954312,421.1589922373468
LIPQ,294.1526200434595,850.1865327356895,287.4110197021972,584.0099681623598,95.0134379601448,633.3556328166167,378.2701646630655,0.0,938.2953277032209,245.31509962208258,553.0055513087857,207.47453599238233
LICC,1014.7595708983546,190.03730082481593,776.6412647485431,433.13793068201005,921.5643418037614,613.9257076904332,560.0539037554024,938.2953277032209,0.0,696.1876103714313,385.7881123373926,947.536309860769
LIPY,378.37698746402975,605.3021942734432,187.3098939577766,383.19658761045935,229.16127676643865,446.4365486464428,140.46136323564457,245.31509962208258,696.1876103714313,0.0,310.4425313768006,287.29879972228775
LIRN,648.6010845466559,317.1799063799452,412.36924718227635,209.02057816062083,537.04221861884,402.3647064152434,175.54307045954312,553.0055513087857,385.7881123373926,310.4425313768006,0.0,572.3626568139288
LIPX,97.41048521790138,822.6893643075314,178.1993673756379,670.4890060345715,114.72436646067514,510.59857225327437,421.1589922373468,207.47453599238233,947.536309860769,287.29879972228775,572.3626568139288,0.0
