,LIRF,LIEE,LIPZ,LIMF,LIRQ,LIPQ,LIMJ,LICA,LIBP,LIPE,LIEO,LIPX
LIRF,0,270,750,245,755,450,495,325,435,695,245,605
LIEE,325,0,250,105,220,195,180,135,140,265,125,225
LIPZ,655,240,0,285,795,725,490,280,325,735,220,935
LIMF,235,100,285,0,310,170,285,110,120,295,75,305
LIRQ,705,225,730,295,0,475,545,250,340,790,245,705
LIPQ,440,165,650,185,500,0,285,170,305,510,150,515
LIMJ,445,155,480,215,510,300,0,190,245,585,185,520
LICA,315,135,250,110,265,190,205,0,165,325,115,235
LIBP,435,150,320,145,395,235,245,175,0,405,125,315
LIPE,545,260,920,270,840,645,590,305,315,0,220,945
LIEO,300,120,190,90,220,155,160,125,140,215,0,205
LIPX,560,220,955,275,810,555,495,260,355,900,200,0
