,LIRF,LIEE,LIPZ,LIMF,LIRQ,LIPQ,LIMJ,LICA,LIBP,LIPE,LIEO,LIPX
LIRF,0.0,388.6524750922205,414.8161755043181,531.5390369527111,241.63410450431064,461.2208699321743,397.30620862771497,465.4862102032719,180.07755319797792,316.6443256864812,247.7461346826814,417.1929188793133
LIEE,388.6524750922205,0.0,745.8239705090143,671.6093169111722,537.2268652370694,815.5386914357754,574.1346621369325,621.4510342987924,561.752839854034,615.8607141189885,188.97246889695452,699.5637560610178
LIPZ,414.8161755043181,745.8239705090143,0.0,369.3796520562832,209.22528539278827,95.0134379601448,294.2680052005242,800.2520916855747,369.61504742393083,136.21270667141678,559.8079873790863,114.72436646067514
LIMF,531.5390369527111,671.6093169111722,369.3796520562832,0.0,321.78098535815957,460.32772731606127,134.70893868532653,995.9039381715309,608.5866932436181,296.6290530297057,499.6190783419862,254.74767422481528
LIRQ,241.63410450431064,537.2268652370694,209.22528539278827,321.78098535815957,0.0,287.4110197021972,192.50383177804656,688.338875828711,286.81046949463683,81.11558050309372,350.6162469018684,178.1993673756379
LIPQ,461.2208699321743,815.5386914357754,95.0134379601448,460.32772731606127,287.4110197021972,0.0,389.2760452334035,801.6269989965904,378.2701646630655,223.88874095201498,633.3556328166167,207.47453599238233
LIMJ,397.30620862771497,574.1346621369325,294.2680052005242,134.70893868532653,192.50383177804656,389.2760452334035,0.0,861.2569681417225,477.8354062969868,186.66082027961346,391.5663161840385,188.16243039840967
LICA,465.4862102032719,621.4510342987924,800.2520916855747,995.9039381715309,688.338875828711,801.6269989965904,861.2569681417225,0.0,430.66093265327066,748.562165677543,616.838155942107,845.4181835763492
LIBP,180.07755319797792,561.752839854034,369.61504742393083,608.5866932436181,286.81046949463683,378.2701646630655,477.8354062969868,430.66093265327066,0.0,329.99083885324933,427.5564311769401,421.1589922373468
LIPE,316.6443256864812,615.8607141189885,136.21270667141678,296.6290530297057,81.11558050309372,223.88874095201498,186.66082027961346,748.562165677543,329.99083885324933,0.0,428.06325759440557,100.7035040556311
LIEO,247.7461346826814,188.97246889695452,559.8079873790863,499.6190783419862,350.6162469018684,633.3556328166167,391.5663161840385,616.838155942107,427.5564311769401,428.06325759440557,0.0,510.59857225327437
LIPX,417.1929188793133,699.5637560610178,114.72436646067514,254.74767422481528,178.1993673756379,207.47453599238233,188.16243039840967,845.4181835763492,421.1589922373468,100.7035040556311,510.59857225327437,0.0
