,LIME,LIRQ,LIPZ,LIBD,LIEE,LIBP,LICA,LIPQ,LIPX,LIMJ,LIEO,LICC
LIME,0,1045,1045,635,350,470,360,750,1215,715,305,535
LIRQ,1165,0,585,410,255,305,290,495,670,520,220,355
LIPZ,935,680,0,420,225,370,260,755,840,435,220,365
LIBD,515,415,385,0,160,285,265,280,420,285,150,325
LIEE,360,250,245,175,0,140,140,160,205,200,120,190
LIBP,430,385,410,335,145,0,185,260,315,245,130,245
LICA,425,270,300,255,130,195,0,210,245,165,110,310
LIPQ,760,410,675,305,170,270,205,0,515,340,150,295
LIPX,1290,775,955,400,225,290,280,575,0,480,210,360
LIMJ,890,565,490,255,190,250,180,310,465,0,165,295
LIEO,310,215,220,155,130,140,115,170,200,170,0,145
LICC,525,415,430,315,230,220,345,260,310,305,160,0
