,LIME,LIRQ,LIPZ,LIBD,LIEE,LIBP,LICA,LIPQ,LIPX,LIMJ,LIEO,LICC
LIME,0.0,238.4021280492888,207.10185589938538,760.3420165465329,715.5262037169343,507.14231988438075,924.0044602677533,294.1526200434595,97.41048521790138,151.69941025901286,528.6708838113896,1014.7595708983546
LIRQ,238.4021280492888,0.0,209.22528539278827,543.7495211755354,537.2268652370694,286.81046949463683,688.338875828711,287.4110197021972,178.1993673756379,192.50383177804656,350.6162469018684,776.6412647485431
LIPZ,207.10185589938538,209.22528539278827,0.0,602.0790023931023,745.8239705090143,369.61504742393083,800.2520916855747,95.0134379601448,114.72436646067514,294.2680052005242,559.8079873790863,921.5643418037614
LIBD,760.3420165465329,543.7495211755354,602.0790023931023,0.0,686.5634986814619,256.9940851417994,251.78324692217413,584.0099681623598,670.4890060345715,734.1082926751164,609.0245981578363,433.13793068201005
LIEE,715.5262037169343,537.2268652370694,745.8239705090143,686.5634986814619,0.0,561.752839854034,621.4510342987924,815.5386914357754,699.5637560610178,574.1346621369325,188.97246889695452,560.1887053580385
LIBP,507.14231988438075,286.81046949463683,369.61504742393083,256.9940851417994,561.752839854034,0.0,430.66093265327066,378.2701646630655,421.1589922373468,477.8354062969868,427.5564311769401,560.0539037554024
LICA,924.0044602677533,688.338875828711,800.2520916855747,251.78324692217413,621.4510342987924,430.66093265327066,0.0,801.6269989965904,845.4181835763492,861.2569681417225,616.838155942107,190.2740718890136
LIPQ,294.1526200434595,287.4110197021972,95.0134379601448,584.0099681623598,815.5386914357754,378.2701646630655,801.6269989965904,0.0,207.47453599238233,389.2760452334035,633.3556328166167,938.2953277032209
LIPX,97.41048521790138,178.1993673756379,114.72436646067514,670.4890060345715,699.5637560610178,421.1589922373468,845.4181835763492,207.47453599238233,0.0,188.16243039840967,510.59857225327437,947.536309860769
LIMJ,151.69941025901286,192.50383177804656,294.2680052005242,734.1082926751164,574.1346621369325,477.8354062969868,861.2569681417225,389.2760452334035,188.16243039840967,0.0,391.5663161840385,927.407435426296
LIEO,528.6708838113896,350.6162469018684,559.8079873790863,609.0245981578363,188.97246889695452,427.5564311769401,616.838155942107,633.3556328166167,510.59857225327437,391.5663161840385,0.0,613.9257076904332
LICC,1014.7595708983546,776.6412647485431,921.5643418037614,433.13793068201005,560.1887053580385,560.0539037554024,190.2740718890136,938.2953277032209,947.536309860769,927.407435426296,613.9257076904332,0.0
