,LIMC,LIMF,LIBD,LIRQ,LIPZ,LIBP,LIPQ,LIPE,LIPY,LIPX,LICA,LIMJ
LIMC,0,585,550,860,1060,415,685,1140,540,1020,360,935
LIMF,500,0,150,240,275,130,185,295,155,300,105,265
LIBD,610,135,0,420,480,280,335,385,245,425,260,220
LIRQ,930,255,415,0,665,345,445,1075,445,765,260,470
LIPZ,930,305,385,700,0,360,685,820,465,845,285,455
LIBP,460,130,280,355,355,0,275,415,305,310,180,235
LIPQ,625,140,270,445,590,255,0,575,340,465,180,330
LIPE,1150,295,490,985,775,390,535,0,485,870,285,580
LIPY,530,145,275,475,400,270,305,425,0,350,155,235
LIPX,1070,285,375,700,820,330,545,960,390,0,280,460
LICA,410,125,245,280,275,185,210,280,170,230,0,195
LIMJ,895,240,265,515,470,250,305,580,250,545,210,0
