,LIMC,LIMF,LIBD,LIRQ,LIPZ,LIBP,LIPQ,LIPE,LIPY,LIPX,LICA,LIMJ
LIMC,0.0,95.96822823953899,818.9731280157985,281.9679723211067,283.56992275991195,563.0864565604991,371.0571326484466,235.83801693006072,440.9006255490328,171.4812582560927,969.824068984469,135.99709488778402
LIMF,95.96822823953899,0.0,865.484163520528,321.78098535815957,369.3796520562832,608.5866932436181,460.32772731606127,296.6290530297057,498.52985016873737,254.74767422481528,995.9039381715309,134.70893868532653
LIBD,818.9731280157985,865.484163520528,0.0,543.7495211755354,602.0790023931023,256.9940851417994,584.0099681623598,584.2308949803706,383.19658761045935,670.4890060345715,251.78324692217413,734.1082926751164
LIRQ,281.9679723211067,321.78098535815957,543.7495211755354,0.0,209.22528539278827,286.81046949463683,287.4110197021972,81.11558050309372,187.3098939577766,178.1993673756379,688.338875828711,192.50383177804656
LIPZ,283.56992275991195,369.3796520562832,602.0790023931023,209.22528539278827,0.0,369.61504742393083,95.0134379601448,136.21270667141678,229.16127676643865,114.72436646067514,800.2520916855747,294.2680052005242
LIBP,563.0864565604991,608.5866932436181,256.9940851417994,286.81046949463683,369.61504742393083,0.0,378.2701646630655,329.99083885324933,140.46136323564457,421.1589922373468,430.66093265327066,477.8354062969868
LIPQ,371.0571326484466,460.32772731606127,584.0099681623598,287.4110197021972,95.0134379601448,378.2701646630655,0.0,223.88874095201498,245.31509962208258,207.47453599238233,801.6269989965904,389.2760452334035
LIPE,235.83801693006072,296.6290530297057,584.2308949803706,81.11558050309372,136.21270667141678,329.99083885324933,223.88874095201498,0.0,205.19275098901252,100.7035040556311,748.562165677543,186.66082027961346
LIPY,440.9006255490328,498.52985016873737,383.19658761045935,187.3098939577766,229.16127676643865,140.46136323564457,245.31509962208258,205.19275098901252,0.0,287.29879972228775,571.1194727176842,376.3343733315995
LIPX,171.4812582560927,254.74767422481528,670.4890060345715,178.1993673756379,114.72436646067514,421.1589922373468,207.47453599238233,100.7035040556311,287.29879972228775,0.0,845.4181835763492,188.16243039840967
LICA,969.824068984469,995.9039381715309,251.78324692217413,688.338875828711,800.2520916855747,430.66093265327066,801.6269989965904,748.562165677543,571.1194727176842,845.4181835763492,0.0,861.2569681417225
LIMJ,135.99709488778402,134.70893868532653,734.1082926751164,192.50383177804656,294.2680052005242,477.8354062969868,389.2760452334035,186.66082027961346,376.3343733315995,188.16243039840967,861.2569681417225,0.0
