,LIMC,LICJ,LIRQ,LIPZ,LIBD,LIMJ,LIPX,LICA,LICC,LIEO,LIPQ,LIRN
LIMC,0,465,1010,1105,530,880,1170,380,540,330,555,650
LICJ,495,0,345,290,280,245,345,230,355,150,240,385
LIRQ,1010,350,0,790,400,485,770,310,390,245,520,555
LIPZ,985,370,720,0,365,530,910,260,400,235,740,615
LIBD,520,300,395,420,0,280,350,260,325,175,295,555
LIMJ,960,205,470,440,270,0,470,210,275,165,290,385
LIPX,1060,315,695,800,380,575,0,200,375,205,550,445
LICA,325,220,285,245,315,215,255,0,295,110,180,330
LICC,485,355,345,335,300,260,390,285,0,140,255,420
LIEO,310,150,260,240,150,175,210,105,160,0,135,230
LIPQ,760,230,450,760,300,305,425,190,245,150,0,340
LIRN,760,380,625,495,500,430,545,370,485,280,400,0
