,LIMC,LICJ,LIRQ,LIPZ,LIBD,LIMJ,LIPX,LICA,LICC,LIEO,LIPQ,LIRN
LIMC,0.0,903.5249424308819,281.9679723211067,283.56992275991195,818.9731280157985,135.99709488778402,171.4812582560927,969.824068984469,1049.253474302226,527.5565602377338,371.0571326484466,693.8568431958141
LICJ,903.5249424308819,0.0,645.5470247706211,816.3883802720875,453.61358855866223,774.8726203936518,822.6893643075314,284.92302907832163,190.03730082481593,433.21335524446437,850.1865327356895,317.1799063799452
LIRQ,281.9679723211067,645.5470247706211,0.0,209.22528539278827,543.7495211755354,192.50383177804656,178.1993673756379,688.338875828711,776.6412647485431,350.6162469018684,287.4110197021972,412.36924718227635
LIPZ,283.56992275991195,816.3883802720875,209.22528539278827,0.0,602.0790023931023,294.2680052005242,114.72436646067514,800.2520916855747,921.5643418037614,559.8079873790863,95.0134379601448,537.04221861884
LIBD,818.9731280157985,453.61358855866223,543.7495211755354,602.0790023931023,0.0,734.1082926751164,670.4890060345715,251.78324692217413,433.13793068201005,609.0245981578363,584.0099681623598,209.02057816062083
LIMJ,135.99709488778402,774.8726203936518,192.50383177804656,294.2680052005242,734.1082926751164,0.0,188.16243039840967,861.2569681417225,927.407435426296,391.5663161840385,389.2760452334035,587.3214164711571
LIPX,171.4812582560927,822.6893643075314,178.1993673756379,114.72436646067514,670.4890060345715,188.16243039840967,0.0,845.4181835763492,947.536309860769,510.59857225327437,207.47453599238233,572.3626568139288
LICA,969.824068984469,284.92302907832163,688.338875828711,800.2520916855747,251.78324692217413,861.2569681417225,845.4181835763492,0.0,190.2740718890136,616.838155942107,801.6269989965904,275.98989892657465
LICC,1049.253474302226,190.03730082481593,776.6412647485431,921.5643418037614,433.13793068201005,927.407435426296,947.536309860769,190.2740718890136,0.0,613.9257076904332,938.2953277032209,385.7881123373926
LIEO,527.5565602377338,433.21335524446437,350.6162469018684,559.8079873790863,609.0245981578363,391.5663161840385,510.59857225327437,616.838155942107,613.9257076904332,0.0,633.3556328166167,402.3647064152434
LIPQ,371.0571326484466,850.1865327356895,287.4110197021972,95.0134379601448,584.0099681623598,389.2760452334035,207.47453599238233,801.6269989965904,938.2953277032209,633.3556328166167,0.0,553.0055513087857
LIRN,693.8568431958141,317.1799063799452,412.36924718227635,537.04221861884,209.02057816062083,587.3214164711571,572.3626568139288,275.98989892657465,385.7881123373926,402.3647064152434,553.0055513087857,0.0
