,LIMC,LIBD,LIPZ,LICJ,LIMF,LIPY,LIEO,LICA,LIPE,LICC,LIMJ,LIBP
LIMC,0,500,1105,460,520,610,310,395,1250,505,860,485
LIBD,510,0,415,260,155,285,135,280,400,335,285,225
LIPZ,1030,350,0,325,260,395,205,265,820,405,515,330
LICJ,465,285,300,0,140,230,155,220,405,350,235,200
LIMF,585,145,275,130,0,155,80,100,295,150,260,130
LIPY,595,290,470,220,115,0,145,155,495,235,275,260
LIEO,345,160,235,140,85,150,0,115,195,165,145,135
LICA,400,275,270,240,95,205,105,0,305,315,175,190
LIPE,1160,430,910,370,350,510,270,315,0,410,570,430
LICC,495,360,400,390,160,210,155,310,450,0,240,240
LIMJ,910,295,535,250,260,260,195,240,645,260,0,250
LIBP,445,285,330,230,120,305,145,210,355,225,235,0
