,LIMC,LIBD,LIPZ,LICJ,LIMF,LIPY,LIEO,LICA,LIPE,LICC,LIMJ,LIBP
LIMC,0.0,818.9731280157985,283.56992275991195,903.5249424308819,95.96822823953899,440.9006255490328,527.5565602377338,969.824068984469,235.83801693006072,1049.253474302226,135.99709488778402,563.0864565604991
LIBD,818.9731280157985,0.0,602.0790023931023,453.61358855866223,865.484163520528,383.19658761045935,609.0245981578363,251.78324692217413,584.2308949803706,433.13793068201005,734.1082926751164,256.9940851417994
LIPZ,283.56992275991195,602.0790023931023,0.0,816.3883802720875,369.3796520562832,229.16127676643865,559.8079873790863,800.2520916855747,136.21270667141678,921.5643418037614,294.2680052005242,369.61504742393083
LICJ,903.5249424308819,453.61358855866223,816.3883802720875,0.0,901.8836650509359,605.3021942734432,433.21335524446437,284.92302907832163,722.3765317085819,190.03730082481593,774.8726203936518,485.1389211343255
LIMF,95.96822823953899,865.484163520528,369.3796520562832,901.8836650509359,0.0,498.52985016873737,499.6190783419862,995.9039381715309,296.6290530297057,1058.9242247453244,134.70893868532653,608.5866932436181
LIPY,440.9006255490328,383.19658761045935,229.16127676643865,605.3021942734432,498.52985016873737,0.0,446.4365486464428,571.1194727176842,205.19275098901252,696.1876103714313,376.3343733315995,140.46136323564457
LIEO,527.5565602377338,609.0245981578363,559.8079873790863,433.21335524446437,499.6190783419862,446.4365486464428,0.0,616.838155942107,428.06325759440557,613.9257076904332,391.5663161840385,427.5564311769401
LICA,969.824068984469,251.78324692217413,800.2520916855747,284.92302907832163,995.9039381715309,571.1194727176842,616.838155942107,0.0,748.562165677543,190.2740718890136,861.2569681417225,430.66093265327066
LIPE,235.83801693006072,584.2308949803706,136.21270667141678,722.3765317085819,296.6290530297057,205.19275098901252,428.06325759440557,748.562165677543,0.0,847.1963648962758,186.66082027961346,329.99083885324933
LICC,1049.253474302226,433.13793068201005,921.5643418037614,190.03730082481593,1058.9242247453244,696.1876103714313,613.9257076904332,190.2740718890136,847.1963648962758,0.0,927.407435426296,560.0539037554024
LIMJ,135.99709488778402,734.1082926751164,294.2680052005242,774.8726203936518,134.70893868532653,376.3343733315995,391.5663161840385,861.2569681417225,186.66082027961346,927.407435426296,0.0,477.8354062969868
LIBP,563.0864565604991,256.9940851417994,369.61504742393083,485.1389211343255,608.5866932436181,140.46136323564457,427.5564311769401,430.66093265327066,329.99083885324933,560.0539037554024,477.8354062969868,0.0
