,LIRF,LIMF,LIPZ,LIBD,LIEE,LIRN,LIPE,LIBP,LIMJ,LIPX,LIPQ,LICC
LIRF,0,230,695,525,295,635,690,420,475,685,430,450
LIMF,230,0,280,160,105,215,310,130,230,275,175,150
LIPZ,680,240,0,400,235,605,1025,395,500,715,680,380
LIBD,455,150,420,0,160,570,435,290,305,425,295,370
LIEE,320,90,225,165,0,250,290,125,150,245,170,165
LIRN,745,220,540,525,235,0,650,420,410,465,430,495
LIPE,745,275,920,430,275,645,0,350,655,745,565,375
LIBP,530,125,285,290,145,420,405,0,240,340,250,240
LIMJ,465,260,475,300,180,420,510,220,0,540,295,275
LIPX,535,280,820,350,240,545,915,305,510,0,465,395
LIPQ,530,185,610,275,175,420,605,255,285,555,0,305
LICC,430,160,340,320,180,495,380,240,240,385,295,0
