,LIRF,LIMF,LIPZ,LIBD,LIEE,LIRN,LIPE,LIBP,LIMJ,LIPX,LIPQ,LICC
LIRF,0.0,531.5390369527111,414.8161755043181,382.9677368737012,388.6524750922205,197.55130939035126,316.6443256864812,180.07755319797792,397.30620862771497,417.1929188793133,461.2208699321743,536.4549531429103
LIMF,531.5390369527111,0.0,369.3796520562832,865.484163520528,671.6093169111722,722.0184144004432,296.6290530297057,608.5866932436181,134.70893868532653,254.74767422481528,460.32772731606127,1058.9242247453244
LIPZ,414.8161755043181,369.3796520562832,0.0,602.0790023931023,745.8239705090143,537.04221861884,136.21270667141678,369.61504742393083,294.2680052005242,114.72436646067514,95.0134379601448,921.5643418037614
LIBD,382.9677368737012,865.484163520528,602.0790023931023,0.0,686.5634986814619,209.02057816062083,584.2308949803706,256.9940851417994,734.1082926751164,670.4890060345715,584.0099681623598,433.13793068201005
LIEE,388.6524750922205,671.6093169111722,745.8239705090143,686.5634986814619,0.0,480.7098828967607,615.8607141189885,561.752839854034,574.1346621369325,699.5637560610178,815.5386914357754,560.1887053580385
LIRN,197.55130939035126,722.0184144004432,537.04221861884,209.02057816062083,480.7098828967607,0.0,474.1552489402637,175.54307045954312,587.3214164711571,572.3626568139288,553.0055513087857,385.7881123373926
LIPE,316.6443256864812,296.6290530297057,136.21270667141678,584.2308949803706,615.8607141189885,474.1552489402637,0.0,329.99083885324933,186.66082027961346,100.7035040556311,223.88874095201498,847.1963648962758
LIBP,180.07755319797792,608.5866932436181,369.61504742393083,256.9940851417994,561.752839854034,175.54307045954312,329.99083885324933,0.0,477.8354062969868,421.1589922373468,378.2701646630655,560.0539037554024
LIMJ,397.30620862771497,134.70893868532653,294.2680052005242,734.1082926751164,574.1346621369325,587.3214164711571,186.66082027961346,477.8354062969868,0.0,188.16243039840967,389.2760452334035,927.407435426296
LIPX,417.1929188793133,254.74767422481528,114.72436646067514,670.4890060345715,699.5637560610178,572.3626568139288,100.7035040556311,421.1589922373468,188.16243039840967,0.0,207.47453599238233,947.536309860769
LIPQ,461.2208699321743,460.32772731606127,95.0134379601448,584.0099681623598,815.5386914357754,553.0055513087857,223.88874095201498,378.2701646630655,389.2760452334035,207.47453599238233,0.0,938.2953277032209
LICC,536.4549531429103,1058.9242247453244,921.5643418037614,433.13793068201005,560.1887053580385,385.7881123373926,847.1963648962758,560.0539037554024,927.407435426296,947.536309860769,938.2953277032209,0.0
