,LIME,LIBD,LIRQ,LIMF,LIEE,LICA,LIMJ,LIPX,LIEO,LIBP,LICC,LIPE
LIME,0,510,1065,440,425,340,850,1175,335,480,480,1400
LIBD,595,0,455,160,160,275,250,405,150,300,315,470
LIRQ,990,430,0,265,240,310,560,700,235,395,355,1050
LIMF,470,170,255,0,100,110,260,285,95,125,160,265
LIEE,345,165,235,105,0,145,165,205,130,145,175,285
LICA,440,275,285,105,130,0,180,265,115,185,345,345
LIMJ,875,255,460,255,175,200,0,550,160,225,265,580
LIPX,1530,415,790,290,260,250,540,0,205,335,350,905
LIEO,350,150,235,85,130,110,180,205,0,130,160,230
LIBP,415,285,375,120,130,160,235,355,145,0,260,410
LICC,550,320,365,170,200,280,295,335,160,230,0,430
LIPE,1190,435,915,340,275,300,570,935,235,415,395,0
