,LIME,LIBD,LIRQ,LIMF,LIEE,LICA,LIMJ,LIPX,LIEO,LIBP,LICC,LIPE
LIME,0.0,760.3420165465329,238.4021280492888,168.74474090634754,715.5262037169343,924.0044602677533,151.69941025901286,97.41048521790138,528.6708838113896,507.14231988438075,1014.7595708983546,177.26745301972574
LIBD,760.3420165465329,0.0,543.7495211755354,865.484163520528,686.5634986814619,251.78324692217413,734.1082926751164,670.4890060345715,609.0245981578363,256.9940851417994,433.13793068201005,584.2308949803706
LIRQ,238.4021280492888,543.7495211755354,0.0,321.78098535815957,537.2268652370694,688.338875828711,192.50383177804656,178.1993673756379,350.6162469018684,286.81046949463683,776.6412647485431,81.11558050309372
LIMF,168.74474090634754,865.484163520528,321.78098535815957,0.0,671.6093169111722,995.9039381715309,134.70893868532653,254.74767422481528,499.6190783419862,608.5866932436181,1058.9242247453244,296.6290530297057
LIEE,715.5262037169343,686.5634986814619,537.2268652370694,671.6093169111722,0.0,621.4510342987924,574.1346621369325,699.5637560610178,188.97246889695452,561.752839854034,560.1887053580385,615.8607141189885
LICA,924.0044602677533,251.78324692217413,688.338875828711,995.9039381715309,621.4510342987924,0.0,861.2569681417225,845.4181835763492,616.838155942107,430.66093265327066,190.2740718890136,748.562165677543
LIMJ,151.69941025901286,734.1082926751164,192.50383177804656,134.70893868532653,574.1346621369325,861.2569681417225,0.0,188.16243039840967,391.5663161840385,477.8354062969868,927.407435426296,186.66082027961346
LIPX,97.41048521790138,670.4890060345715,178.1993673756379,254.74767422481528,699.5637560610178,845.4181835763492,188.16243039840967,0.0,510.59857225327437,421.1589922373468,947.536309860769,100.7035040556311
LIEO,528.6708838113896,609.0245981578363,350.6162469018684,499.6190783419862,188.97246889695452,616.838155942107,391.5663161840385,510.59857225327437,0.0,427.5564311769401,613.9257076904332,428.06325759440557
LIBP,507.14231988438075,256.9940851417994,286.81046949463683,608.5866932436181,561.752839854034,430.66093265327066,477.8354062969868,421.1589922373468,427.5564311769401,0.0,560.0539037554024,329.99083885324933
LICC,1014.7595708983546,433.13793068201005,776.6412647485431,1058.9242247453244,560.1887053580385,190.2740718890136,927.407435426296,947.536309860769,613.9257076904332,560.0539037554024,0.0,847.1963648962758
LIPE,177.26745301972574,584.2308949803706,81.11558050309372,296.6290530297057,615.8607141189885,748.562165677543,186.66082027961346,100.7035040556311,428.06325759440557,329.99083885324933,847.1963648962758,0.0
