,LIMC,LICJ,LIRQ,LIMF,LIPZ,LICA,LIBP,LIEO,LIPQ,LIPX,LIPE,LIRN
LIMC,0,460,925,590,985,385,405,360,560,1025,1110,780
LICJ,520,0,325,135,310,200,210,150,270,280,375,375
LIRQ,965,315,0,215,735,255,350,205,515,640,965,705
LIMF,605,140,235,0,245,105,125,95,185,270,325,215
LIPZ,1075,330,745,235,0,265,315,185,660,810,870,540
LICA,405,225,315,110,260,0,175,120,205,290,355,360
LIBP,420,200,350,145,305,200,0,140,240,325,435,380
LIEO,380,150,200,95,255,110,130,0,175,210,260,220
LIPQ,755,240,590,190,640,210,265,140,0,590,555,380
LIPX,1160,360,725,275,845,255,365,205,480,0,880,555
LIPE,1230,375,835,290,815,285,375,265,620,940,0,675
LIRN,710,400,580,175,550,325,445,235,395,515,585,0
