,LIRF,LIPZ,LIRQ,LICJ,LIBD,LICA,LIEO,LIPY,LIMJ,LIBP,LIPQ,LIRN
LIRF,0,655,755,395,405,310,275,455,475,430,470,750
LIPZ,580,0,745,295,390,260,230,455,495,320,660,555
LIRQ,760,795,0,375,420,315,250,430,465,360,515,590
LICJ,400,335,380,0,270,225,135,200,205,220,230,360
LIBD,450,355,405,300,0,290,155,290,275,270,310,545
LICA,300,290,225,225,265,0,105,175,225,170,230,385
LIEO,270,190,230,145,160,105,0,120,190,130,150,215
LIPY,430,425,430,200,265,180,120,0,320,280,295,350
LIMJ,470,520,580,230,245,195,195,260,0,230,265,405
LIBP,365,405,390,230,250,160,125,235,245,0,255,420
LIPQ,440,650,455,220,280,210,155,300,340,240,0,430
LIRN,890,550,660,395,505,300,230,385,355,375,430,0
