,LIRF,LIPZ,LIRQ,LICJ,LIBD,LICA,LIEO,LIPY,LIMJ,LIBP,LIPQ,LIRN
LIRF,0.0,414.8161755043181,241.63410450431064,405.9911538876683,382.9677368737012,465.4862102032719,247.7461346826814,230.00628501517141,397.30620862771497,180.07755319797792,461.2208699321743,197.55130939035126
LIPZ,414.8161755043181,0.0,209.22528539278827,816.3883802720875,602.0790023931023,800.2520916855747,559.8079873790863,229.16127676643865,294.2680052005242,369.61504742393083,95.0134379601448,537.04221861884
LIRQ,241.63410450431064,209.22528539278827,0.0,645.5470247706211,543.7495211755354,688.338875828711,350.6162469018684,187.3098939577766,192.50383177804656,286.81046949463683,287.4110197021972,412.36924718227635
LICJ,405.9911538876683,816.3883802720875,645.5470247706211,0.0,453.61358855866223,284.92302907832163,433.21335524446437,605.3021942734432,774.8726203936518,485.1389211343255,850.1865327356895,317.1799063799452
LIBD,382.9677368737012,602.0790023931023,543.7495211755354,453.61358855866223,0.0,251.78324692217413,609.0245981578363,383.19658761045935,734.1082926751164,256.9940851417994,584.0099681623598,209.02057816062083
LICA,465.4862102032719,800.2520916855747,688.338875828711,284.92302907832163,251.78324692217413,0.0,616.838155942107,571.1194727176842,861.2569681417225,430.66093265327066,801.6269989965904,275.98989892657465
LIEO,247.7461346826814,559.8079873790863,350.6162469018684,433.21335524446437,609.0245981578363,616.838155942107,0.0,446.4365486464428,391.5663161840385,427.5564311769401,633.3556328166167,402.3647064152434
LIPY,230.00628501517141,229.16127676643865,187.3098939577766,605.3021942734432,383.19658761045935,571.1194727176842,446.4365486464428,0.0,376.3343733315995,140.46136323564457,245.31509962208258,310.4425313768006
LIMJ,397.30620862771497,294.2680052005242,192.50383177804656,774.8726203936518,734.1082926751164,861.2569681417225,391.5663161840385,376.3343733315995,0.0,477.8354062969868,389.2760452334035,587.3214164711571
LIBP,180.07755319797792,369.61504742393083,286.81046949463683,485.1389211343255,256.9940851417994,430.66093265327066,427.5564311769401,140.46136323564457,477.8354062969868,0.0,378.2701646630655,175.54307045954312
LIPQ,461.2208699321743,95.0134379601448,287.4110197021972,850.1865327356895,584.0099681623598,801.6269989965904,633.3556328166167,245.31509962208258,389.2760452334035,378.2701646630655,0.0,553.0055513087857
LIRN,197.55130939035126,537.04221861884,412.36924718227635,317.1799063799452,209.02057816062083,275.98989892657465,402.3647064152434,310.4425313768006,587.3214164711571,175.54307045954312,553.0055513087857,0.0
