,LIME,LIPZ,LICJ,LIMF,LIRQ,LICA,LIEO,LIPY,LICC,LIPQ,LIPE,LIRN
LIME,0,1120,560,405,1050,340,325,650,430,830,1080,755
LIPZ,1200,0,335,245,645,295,245,480,355,635,785,560
LICJ,465,280,0,155,310,235,150,160,365,245,380,420
LIMF,455,250,115,0,260,115,100,160,135,190,320,210
LIRQ,965,775,395,285,0,275,250,490,420,475,860,510
LICA,390,255,220,105,295,0,115,200,320,195,305,380
LIEO,330,225,175,100,235,115,0,145,150,150,255,205
LIPY,545,450,215,135,450,215,150,0,280,355,430,380
LICC,570,380,355,145,400,295,170,270,0,295,375,465
LIPQ,760,665,205,185,465,190,155,350,215,0,580,420
LIPE,1095,815,380,310,1085,320,255,560,430,600,0,655
LIRN,870,640,460,200,605,335,210,360,470,445,610,0
