,LIME,LIPZ,LICJ,LIMF,LIRQ,LICA,LIEO,LIPY,LICC,LIPQ,LIPE,LIRN
LIME,0.0,207.10185589938538,878.4803365140244,168.74474090634754,238.4021280492888,924.0044602677533,528.6708838113896,378.37698746402975,1014.7595708983546,294.1526200434595,177.26745301972574,648.6010845466559
LIPZ,207.10185589938538,0.0,816.3883802720875,369.3796520562832,209.22528539278827,800.2520916855747,559.8079873790863,229.16127676643865,921.5643418037614,95.0134379601448,136.21270667141678,537.04221861884
LICJ,878.4803365140244,816.3883802720875,0.0,901.8836650509359,645.5470247706211,284.92302907832163,433.21335524446437,605.3021942734432,190.03730082481593,850.1865327356895,722.3765317085819,317.1799063799452
LIMF,168.74474090634754,369.3796520562832,901.8836650509359,0.0,321.78098535815957,995.9039381715309,499.6190783419862,498.52985016873737,1058.9242247453244,460.32772731606127,296.6290530297057,722.0184144004432
LIRQ,238.4021280492888,209.22528539278827,645.5470247706211,321.78098535815957,0.0,688.338875828711,350.6162469018684,187.3098939577766,776.6412647485431,287.4110197021972,81.11558050309372,412.36924718227635
LICA,924.0044602677533,800.2520916855747,284.92302907832163,995.9039381715309,688.338875828711,0.0,616.838155942107,571.1194727176842,190.2740718890136,801.6269989965904,748.562165677543,275.98989892657465
LIEO,528.6708838113896,559.8079873790863,433.21335524446437,499.6190783419862,350.6162469018684,616.838155942107,0.0,446.4365486464428,613.9257076904332,633.3556328166167,428.06325759440557,402.3647064152434
LIPY,378.37698746402975,229.16127676643865,605.3021942734432,498.52985016873737,187.3098939577766,571.1194727176842,446.4365486464428,0.0,696.1876103714313,245.31509962208258,205.19275098901252,310.4425313768006
LICC,1014.7595708983546,921.5643418037614,190.03730082481593,1058.9242247453244,776.6412647485431,190.2740718890136,613.9257076904332,696.1876103714313,0.0,938.2953277032209,847.1963648962758,385.7881123373926
LIPQ,294.1526200434595,95.0134379601448,850.1865327356895,460.32772731606127,287.4110197021972,801.6269989965904,633.3556328166167,245.31509962208258,938.2953277032209,0.0,223.88874095201498,553.0055513087857
LIPE,177.26745301972574,136.21270667141678,722.3765317085819,296.6290530297057,81.11558050309372,748.562165677543,428.06325759440557,205.19275098901252,847.1963648962758,223.88874095201498,0.0,474.1552489402637
LIRN,648.6010845466559,537.04221861884,317.1799063799452,722.0184144004432,412.36924718227635,275.98989892657465,402.3647064152434,310.4425313768006,385.7881123373926,553.0055513087857,474.1552489402637,0.0
