,LIRF,LIPZ,LICJ,LIRQ,LIEE,LIRN,LIPX,LIBP,LIEO,LIMJ,LIPY,LIPQ
LIRF,0.0,414.8161755043181,405.9911538876683,241.63410450431064,388.6524750922205,197.55130939035126,417.1929188793133,180.07755319797792,247.7461346826814,397.30620862771497,230.00628501517141,461.2208699321743
LIPZ,414.8161755043181,0.0,816.3883802720875,209.22528539278827,745.8239705090143,537.04221861884,114.72436646067514,369.61504742393083,559.8079873790863,294.2680052005242,229.16127676643865,95.0134379601448
LICJ,405.9911538876683,816.3883802720875,0.0,645.5470247706211,370.48213138558674,317.1799063799452,822.6893643075314,485.1389211343255,433.21335524446437,774.8726203936518,605.3021942734432,850.1865327356895
LIRQ,241.63410450431064,209.22528539278827,645.5470247706211,0.0,537.2268652370694,412.36924718227635,178.1993673756379,286.81046949463683,350.6162469018684,192.50383177804656,187.3098939577766,287.4110197021972
LIEE,388.6524750922205,745.8239705090143,370.48213138558674,537.2268652370694,0.0,480.7098828967607,699.5637560610178,561.752839854034,188.97246889695452,574.1346621369325,611.2864181614883,815.5386914357754
LIRN,197.55130939035126,537.04221861884,317.1799063799452,412.36924718227635,480.7098828967607,0.0,572.3626568139288,175.54307045954312,402.3647064152434,587.3214164711571,310.4425313768006,553.0055513087857
LIPX,417.1929188793133,114.72436646067514,822.6893643075314,178.1993673756379,699.5637560610178,572.3626568139288,0.0,421.1589922373468,510.59857225327437,188.16243039840967,287.29879972228775,207.47453599238233
LIBP,180.07755319797792,369.61504742393083,485.1389211343255,286.81046949463683,561.752839854034,175.54307045954312,421.1589922373468,0.0,427.5564311769401,477.8354062969868,140.46136323564457,378.2701646630655
LIEO,247.7461346826814,559.8079873790863,433.21335524446437,350.6162469018684,188.97246889695452,402.3647064152434,510.59857225327437,427.5564311769401,0.0,391.5663161840385,446.4365486464428,633.3556328166167
LIMJ,397.30620862771497,294.2680052005242,774.8726203936518,192.50383177804656,574.1346621369325,587.3214164711571,188.16243039840967,477.8354062969868,391.5663161840385,0.0,376.3343733315995,389.2760452334035
LIPY,230.00628501517141,229.16127676643865,605.3021942734432,187.3098939577766,611.2864181614883,310.4425313768006,287.29879972228775,140.46136323564457,446.4365486464428,376.3343733315995,0.0,245.31509962208258
LIPQ,461.2208699321743,95.0134379601448,850.1865327356895,287.4110197021972,815.5386914357754,553.0055513087857,207.47453599238233,378.2701646630655,633.3556328166167,389.2760452334035,245.31509962208258,0.0
