,LIME,LIRQ,LIMF,LIBD,LIPZ,LIRN,LIEO,LIPE,LICA,LIBP,LIPY,LIMJ
LIME,0,1020,520,555,1125,765,325,1520,425,470,560,880
LIRQ,1005,0,250,400,655,550,265,925,265,390,500,540
LIMF,505,270,0,160,300,195,90,275,110,115,145,285
LIBD,480,415,180,0,415,470,140,420,235,295,275,290
LIPZ,1285,685,280,490,0,590,205,825,275,365,415,570
LIRN,715,585,205,485,640,0,250,675,330,410,365,460
LIEO,365,250,85,155,255,235,0,255,110,140,135,150
LIPE,1270,985,295,490,810,660,300,0,315,405,490,625
LICA,425,250,125,230,280,340,100,305,0,190,175,190
LIBP,455,345,135,280,315,360,135,405,150,0,280,230
LIPY,515,395,135,315,460,445,160,425,195,310,0,275
LIMJ,830,515,230,240,530,350,170,560,205,230,285,0
