,LIME,LIRQ,LIMF,LIBD,LIPZ,LIRN,LIEO,LIPE,LICA,LIBP,LIPY,LIMJ
LIME,0.0,238.4021280492888,168.74474090634754,760.3420165465329,207.10185589938538,648.6010845466559,528.6708838113896,177.26745301972574,924.0044602677533,507.14231988438075,378.37698746402975,151.69941025901286
LIRQ,238.4021280492888,0.0,321.78098535815957,543.7495211755354,209.22528539278827,412.36924718227635,350.6162469018684,81.11558050309372,688.338875828711,286.81046949463683,187.3098939577766,192.50383177804656
LIMF,168.74474090634754,321.78098535815957,0.0,865.484163520528,369.3796520562832,722.0184144004432,499.6190783419862,296.6290530297057,995.9039381715309,608.5866932436181,498.52985016873737,134.70893868532653
LIBD,760.3420165465329,543.7495211755354,865.484163520528,0.0,602.0790023931023,209.02057816062083,609.0245981578363,584.2308949803706,251.78324692217413,256.9940851417994,383.19658761045935,734.1082926751164
LIPZ,207.10185589938538,209.22528539278827,369.3796520562832,602.0790023931023,0.0,537.04221861884,559.8079873790863,136.21270667141678,800.2520916855747,369.61504742393083,229.16127676643865,294.2680052005242
LIRN,648.6010845466559,412.36924718227635,722.0184144004432,209.02057816062083,537.04221861884,0.0,402.3647064152434,474.1552489402637,275.98989892657465,175.54307045954312,310.4425313768006,587.3214164711571
LIEO,528.6708838113896,350.6162469018684,499.6190783419862,609.0245981578363,559.8079873790863,402.3647064152434,0.0,428.06325759440557,616.838155942107,427.5564311769401,446.4365486464428,391.5663161840385
LIPE,177.26745301972574,81.11558050309372,296.6290530297057,584.2308949803706,136.21270667141678,474.1552489402637,428.06325759440557,0.0,748.562165677543,329.99083885324933,205.19275098901252,186.66082027961346
LICA,924.0044602677533,688.338875828711,995.9039381715309,251.78324692217413,800.2520916855747,275.98989892657465,616.838155942107,748.562165677543,0.0,430.66093265327066,571.1194727176842,861.2569681417225
LIBP,507.14231988438075,286.81046949463683,608.5866932436181,256.9940851417994,369.61504742393083,175.54307045954312,427.5564311769401,329.99083885324933,430.66093265327066,0.0,140.46136323564457,477.8354062969868
LIPY,378.37698746402975,187.3098939577766,498.52985016873737,383.19658761045935,229.16127676643865,310.4425313768006,446.4365486464428,205.19275098901252,571.1194727176842,140.46136323564457,0.0,376.3343733315995
LIMJ,151.69941025901286,192.50383177804656,134.70893868532653,734.1082926751164,294.2680052005242,587.3214164711571,391.5663161840385,186.66082027961346,861.2569681417225,477.8354062969868,376.3343733315995,0.0
