,LIMC,LIMF,LIBD,LIRQ,LICJ,LIPY,LIPE,LIEO,LICA,LIRN,LIPX,LIBP
LIMC,0,535,515,850,460,530,1180,325,360,690,1075,435
LIMF,535,0,170,290,145,135,305,90,125,255,275,105
LIBD,590,160,0,350,285,300,380,155,245,515,360,300
LIRQ,1095,300,420,0,335,480,995,245,280,635,830,355
LICJ,410,130,245,335,0,180,415,135,240,415,300,200
LIPY,625,160,325,455,210,0,460,150,160,350,410,275
LIPE,1255,335,460,1175,385,525,0,270,275,690,860,375
LIEO,300,85,140,235,145,135,265,0,110,245,230,145
LICA,375,105,275,295,250,175,325,110,0,345,220,190
LIRN,820,190,415,545,380,405,655,230,340,0,600,415
LIPX,1115,305,335,785,340,390,855,200,290,510,0,290
LIBP,475,165,250,405,230,300,415,135,180,450,325,0
