,LIMC,LIMF,LIBD,LIRQ,LICJ,LIPY,LIPE,LIEO,LICA,LIRN,LIPX,LIBP
LIMC,0.0,95.96822823953899,818.9731280157985,281.9679723211067,903.5249424308819,440.9006255490328,235.83801693006072,527.5565602377338,969.824068984469,693.8568431958141,171.4812582560927,563.0864565604991
LIMF,95.96822823953899,0.0,865.484163520528,321.78098535815957,901.8836650509359,498.52985016873737,296.6290530297057,499.6190783419862,995.9039381715309,722.0184144004432,254.74767422481528,608.5866932436181
LIBD,818.9731280157985,865.484163520528,0.0,543.7495211755354,453.61358855866223,383.19658761045935,584.2308949803706,609.0245981578363,251.78324692217413,209.02057816062083,670.4890060345715,256.9940851417994
LIRQ,281.9679723211067,321.78098535815957,543.7495211755354,0.0,645.5470247706211,187.3098939577766,81.11558050309372,350.6162469018684,688.338875828711,412.36924718227635,178.1993673756379,286.81046949463683
LICJ,903.5249424308819,901.8836650509359,453.61358855866223,645.5470247706211,0.0,605.3021942734432,722.3765317085819,433.21335524446437,284.92302907832163,317.1799063799452,822.6893643075314,485.1389211343255
LIPY,440.9006255490328,498.52985016873737,383.19658761045935,187.3098939577766,605.3021942734432,0.0,205.19275098901252,446.4365486464428,571.1194727176842,310.4425313768006,287.29879972228775,140.46136323564457
LIPE,235.83801693006072,296.6290530297057,584.2308949803706,81.11558050309372,722.3765317085819,205.19275098901252,0.0,428.06325759440557,748.562165677543,474.1552489402637,100.7035040556311,329.99083885324933
LIEO,527.5565602377338,499.6190783419862,609.0245981578363,350.6162469018684,433.21335524446437,446.4365486464428,428.06325759440557,0.0,616.838155942107,402.3647064152434,510.59857225327437,427.5564311769401
LICA,969.824068984469,995.9039381715309,251.78324692217413,688.338875828711,284.92302907832163,571.1194727176842,748.562165677543,616.838155942107,0.0,275.98989892657465,845.4181835763492,430.66093265327066
LIRN,693.8568431958141,722.0184144004432,209.02057816062083,412.36924718227635,317.1799063799452,310.4425313768006,474.1552489402637,402.3647064152434,275.98989892657465,0.0,572.3626568139288,175.54307045954312
LIPX,171.4812582560927,254.74767422481528,670.4890060345715,178.1993673756379,822.6893643075314,287.29879972228775,100.7035040556311,510.59857225327437,845.4181835763492,572.3626568139288,0.0,421.1589922373468
LIBP,563.0864565604991,608.5866932436181,256.9940851417994,286.81046949463683,485.1389211343255,140.46136323564457,329.99083885324933,427.5564311769401,430.66093265327066,175.54307045954312,421.1589922373468,0.0
