,LIMC,LICJ,LIEE,LIRQ,LIPZ,LIRN,LIPE,LICC,LIPQ,LIPY,LIEO,LIMJ
LIMC,0,415,385,1025,900,840,1030,605,660,650,320,870
LICJ,520,0,165,345,335,410,370,315,240,205,135,240
LIEE,320,170,0,250,225,265,265,200,155,150,115,185
LIRQ,975,390,230,0,595,550,870,405,470,455,290,530
LIPZ,1005,330,235,710,0,605,855,385,635,460,195,485
LIRN,800,485,305,515,595,0,705,405,445,405,200,420
LIPE,1145,340,295,825,800,565,0,430,535,500,215,545
LICC,550,320,170,395,395,420,390,0,265,245,175,280
LIPQ,630,210,170,450,645,365,515,275,0,305,160,355
LIPY,610,205,150,455,410,400,560,295,340,0,150,270
LIEO,310,115,130,265,240,245,260,160,145,140,0,165
LIMJ,795,210,175,520,460,350,535,255,330,275,175,0
