,LIMC,LICJ,LIEE,LIRQ,LIPZ,LIRN,LIPE,LICC,LIPQ,LIPY,LIEO,LIMJ
LIMC,0.0,903.5249424308819,709.4088650176761,281.9679723211067,283.56992275991195,693.8568431958141,235.83801693006072,1049.253474302226,371.0571326484466,440.9006255490328,527.5565602377338,135.99709488778402
LICJ,903.5249424308819,0.0,370.48213138558674,645.5470247706211,816.3883802720875,317.1799063799452,722.3765317085819,190.03730082481593,850.1865327356895,605.3021942734432,433.21335524446437,774.8726203936518
LIEE,709.4088650176761,370.48213138558674,0.0,537.2268652370694,745.8239705090143,480.7098828967607,615.8607141189885,560.1887053580385,815.5386914357754,611.2864181614883,188.97246889695452,574.1346621369325
LIRQ,281.9679723211067,645.5470247706211,537.2268652370694,0.0,209.22528539278827,412.36924718227635,81.11558050309372,776.6412647485431,287.4110197021972,187.3098939577766,350.6162469018684,192.50383177804656
LIPZ,283.56992275991195,816.3883802720875,745.8239705090143,209.22528539278827,0.0,537.04221861884,136.21270667141678,921.5643418037614,95.0134379601448,229.16127676643865,559.8079873790863,294.2680052005242
LIRN,693.8568431958141,317.1799063799452,480.7098828967607,412.36924718227635,537.04221861884,0.0,474.1552489402637,385.7881123373926,553.0055513087857,310.4425313768006,402.3647064152434,587.3214164711571
LIPE,235.83801693006072,722.3765317085819,615.8607141189885,81.11558050309372,136.21270667141678,474.1552489402637,0.0,847.1963648962758,223.88874095201498,205.19275098901252,428.06325759440557,186.66082027961346
LICC,1049.253474302226,190.03730082481593,560.1887053580385,776.6412647485431,921.5643418037614,385.7881123373926,847.1963648962758,0.0,938.2953277032209,696.1876103714313,613.9257076904332,927.407435426296
LIPQ,371.0571326484466,850.1865327356895,815.5386914357754,287.4110197021972,95.0134379601448,553.0055513087857,223.88874095201498,938.2953277032209,0.0,245.31509962208258,633.3556328166167,389.2760452334035
LIPY,440.9006255490328,605.3021942734432,611.2864181614883,187.3098939577766,229.16127676643865,310.4425313768006,205.19275098901252,696.1876103714313,245.31509962208258,0.0,446.4365486464428,376.3343733315995
LIEO,527.5565602377338,433.21335524446437,188.97246889695452,350.6162469018684,559.8079873790863,402.3647064152434,428.06325759440557,613.9257076904332,633.3556328166167,446.4365486464428,0.0,391.5663161840385
LIMJ,135.99709488778402,774.8726203936518,574.1346621369325,192.50383177804656,294.2680052005242,587.3214164711571,186.66082027961346,927.407435426296,389.2760452334035,376.3343733315995,391.5663161840385,0.0
