City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Malpensa,LIMC,45.626396,8.712519,3920,11117615,468.77
Cagliari,LIEE,39.2515388,9.0556723,2803,994409,35.25
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
Firenze,LIRQ,43.808653,11.201225,1750,5827084,118.72
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Ancona,LIPY,43.616943,13.516667,2962,2281970,42.39
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Bologna,LIPE,44.535442,11.288667,2800,7026812,163.75
