,LIMC,LIEE,LIMF,LIBD,LIRQ,LIPQ,LIMJ,LIPY,LICC,LIBP,LIEO,LIPE
LIMC,0,345,600,495,1050,705,765,590,515,530,320,1000
LIEE,320,0,95,165,240,160,160,170,175,125,135,250
LIMF,525,110,0,165,280,155,255,135,165,150,110,305
LIBD,485,180,150,0,405,305,285,300,310,260,180,395
LIRQ,825,230,235,370,0,525,450,425,410,380,230,980
LIPQ,600,170,190,290,490,0,325,340,285,240,155,575
LIMJ,865,170,250,270,560,320,0,285,235,230,180,610
LIPY,475,170,145,225,410,315,290,0,235,240,145,485
LICC,470,195,160,310,360,275,210,255,0,255,130,390
LIBP,505,130,140,240,345,270,240,280,230,0,145,410
LIEO,315,135,80,160,275,165,165,130,170,150,0,295
LIPE,1210,240,300,420,970,580,590,510,385,435,225,0
