,LIMC,LIEE,LIMF,LIBD,LIRQ,LIPQ,LIMJ,LIPY,LICC,LIBP,LIEO,LIPE
LIMC,0.0,709.4088650176761,95.96822823953899,818.9731280157985,281.9679723211067,371.0571326484466,135.99709488778402,440.9006255490328,1049.253474302226,563.0864565604991,527.5565602377338,235.83801693006072
LIEE,709.4088650176761,0.0,671.6093169111722,686.5634986814619,537.2268652370694,815.5386914357754,574.1346621369325,611.2864181614883,560.1887053580385,561.752839854034,188.97246889695452,615.8607141189885
LIMF,95.96822823953899,671.6093169111722,0.0,865.484163520528,321.78098535815957,460.32772731606127,134.70893868532653,498.52985016873737,1058.9242247453244,608.5866932436181,499.6190783419862,296.6290530297057
LIBD,818.9731280157985,686.5634986814619,865.484163520528,0.0,543.7495211755354,584.0099681623598,734.1082926751164,383.19658761045935,433.13793068201005,256.9940851417994,609.0245981578363,584.2308949803706
LIRQ,281.9679723211067,537.2268652370694,321.78098535815957,543.7495211755354,0.0,287.4110197021972,192.50383177804656,187.3098939577766,776.6412647485431,286.81046949463683,350.6162469018684,81.11558050309372
LIPQ,371.0571326484466,815.5386914357754,460.32772731606127,584.0099681623598,287.4110197021972,0.0,389.2760452334035,245.31509962208258,938.2953277032209,378.2701646630655,633.3556328166167,223.88874095201498
LIMJ,135.99709488778402,574.1346621369325,134.70893868532653,734.1082926751164,192.50383177804656,389.2760452334035,0.0,376.3343733315995,927.407435426296,477.8354062969868,391.5663161840385,186.66082027961346
LIPY,440.9006255490328,611.2864181614883,498.52985016873737,383.19658761045935,187.3098939577766,245.31509962208258,376.3343733315995,0.0,696.1876103714313,140.46136323564457,446.4365486464428,205.19275098901252
LICC,1049.253474302226,560.1887053580385,1058.9242247453244,433.13793068201005,776.6412647485431,938.2953277032209,927.407435426296,696.1876103714313,0.0,560.0539037554024,613.9257076904332,847.1963648962758
LIBP,563.0864565604991,561.752839854034,608.5866932436181,256.9940851417994,286.81046949463683,378.2701646630655,477.8354062969868,140.46136323564457,560.0539037554024,0.0,427.5564311769401,329.99083885324933
LIEO,527.5565602377338,188.97246889695452,499.6190783419862,609.0245981578363,350.6162469018684,633.3556328166167,391.5663161840385,446.4365486464428,613.9257076904332,427.5564311769401,0.0,428.06325759440557
LIPE,235.83801693006072,615.8607141189885,296.6290530297057,584.2308949803706,81.11558050309372,223.88874095201498,186.66082027961346,205.19275098901252,847.1963648962758,329.99083885324933,428.06325759440557,0.0
