,LIRF,LIEE,LIMF,LIBD,LIPZ,LIEO,LICA,LIRN,LIMJ,LIPE,LIPQ,LIBP
LIRF,0,325,240,475,600,265,335,680,460,765,435,470
LIEE,295,0,110,180,205,110,140,300,180,275,170,140
LIMF,285,100,0,155,250,85,105,215,245,315,160,145
LIBD,545,160,150,0,395,145,325,515,275,450,300,300
LIPZ,650,215,265,390,0,215,315,570,490,980,625,380
LIEO,275,110,90,140,215,0,120,245,160,250,135,120
LICA,290,115,90,260,270,105,0,420,175,290,225,220
LIRN,755,235,215,550,600,210,345,0,345,645,440,455
LIMJ,440,165,265,275,530,160,180,415,0,550,310,230
LIPE,695,220,285,450,990,235,260,750,590,0,510,430
LIPQ,455,160,165,310,615,155,205,435,350,550,0,235
LIBP,480,145,125,280,380,130,160,520,240,365,245,0
