,LIRF,LIEE,LIMF,LIBD,LIPZ,LIEO,LICA,LIRN,LIMJ,LIPE,LIPQ,LIBP
LIRF,0.0,388.6524750922205,531.5390369527111,382.9677368737012,414.8161755043181,247.7461346826814,465.4862102032719,197.55130939035126,397.30620862771497,316.6443256864812,461.2208699321743,180.07755319797792
LIEE,388.6524750922205,0.0,671.6093169111722,686.5634986814619,745.8239705090143,188.97246889695452,621.4510342987924,480.7098828967607,574.1346621369325,615.8607141189885,815.5386914357754,561.752839854034
LIMF,531.5390369527111,671.6093169111722,0.0,865.484163520528,369.3796520562832,499.6190783419862,995.9039381715309,722.0184144004432,134.70893868532653,296.6290530297057,460.32772731606127,608.5866932436181
LIBD,382.9677368737012,686.5634986814619,865.484163520528,0.0,602.0790023931023,609.0245981578363,251.78324692217413,209.02057816062083,734.1082926751164,584.2308949803706,584.0099681623598,256.9940851417994
LIPZ,414.8161755043181,745.8239705090143,369.3796520562832,602.0790023931023,0.0,559.8079873790863,800.2520916855747,537.04221861884,294.2680052005242,136.21270667141678,95.0134379601448,369.61504742393083
LIEO,247.7461346826814,188.97246889695452,499.6190783419862,609.0245981578363,559.8079873790863,0.0,616.838155942107,402.3647064152434,391.5663161840385,428.06325759440557,633.3556328166167,427.5564311769401
LICA,465.4862102032719,621.4510342987924,995.9039381715309,251.78324692217413,800.2520916855747,616.838155942107,0.0,275.98989892657465,861.2569681417225,748.562165677543,801.6269989965904,430.66093265327066
LIRN,197.55130939035126,480.7098828967607,722.0184144004432,209.02057816062083,537.04221861884,402.3647064152434,275.98989892657465,0.0,587.3214164711571,474.1552489402637,553.0055513087857,175.54307045954312
LIMJ,397.30620862771497,574.1346621369325,134.70893868532653,734.1082926751164,294.2680052005242,391.5663161840385,861.2569681417225,587.3214164711571,0.0,186.66082027961346,389.2760452334035,477.8354062969868
LIPE,316.6443256864812,615.8607141189885,296.6290530297057,584.2308949803706,136.21270667141678,428.06325759440557,748.562165677543,474.1552489402637,186.66082027961346,0.0,223.88874095201498,329.99083885324933
LIPQ,461.2208699321743,815.5386914357754,460.32772731606127,584.0099681623598,95.0134379601448,633.3556328166167,801.6269989965904,553.0055513087857,389.2760452334035,223.88874095201498,0.0,378.2701646630655
LIBP,180.07755319797792,561.752839854034,608.5866932436181,256.9940851417994,369.61504742393083,427.5564311769401,430.66093265327066,175.54307045954312,477.8354062969868,329.99083885324933,378.2701646630655,0.0
