,ICAO Code_origin,ICAO Code_destination,Origin,Destination,Line,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Total_pax,OD_pair
1,LIRF,EDDT,POINT (12.239712 41.77354),POINT (13.2877 52.5597),"LINESTRING (12.239712 41.77354, 13.2877 52.5597)",0.0,1.0,-0.0,112.0,EDDT_LIRF
2,LIRF,RJAA,POINT (12.239712 41.77354),POINT (140.3843 35.7702),"LINESTRING (12.239712 41.77354, 140.3843 35.7702)",0.0,0.0,1.0,155.0,LIRF_RJAA
3,LIRF,EDDM,POINT (12.239712 41.77354),POINT (11.7861 48.3538),"LINESTRING (12.239712 41.77354, 11.7861 48.3538)",-0.0,1.0,-0.0,91.0,EDDM_LIRF
4,LIRF,LFPG,POINT (12.239712 41.77354),POINT (2.55 49.0128),"LINESTRING (12.239712 41.77354, 2.55 49.0128)",1.0,1.0,-0.0,176.0,LFPG_LIRF
5,LIRF,SAEZ,POINT (12.239712 41.77354),POINT (-58.5373 -34.8165),"LINESTRING (12.239712 41.77354, -58.5373 -34.8165)",0.0,0.0,-0.0,0.0,LIRF_SAEZ
6,LIRF,CYYZ,POINT (12.239712 41.77354),POINT (-79.61450000000001 43.6817),"LINESTRING (12.239712 41.77354, -79.61450000000001 43.6817)",0.0,0.0,0.0,0.0,CYYZ_LIRF
7,LIRF,MMMX,POINT (12.239712 41.77354),POINT (-99.0719 19.4361),"LINESTRING (12.239712 41.77354, -99.0719 19.4361)",0.0,0.0,1.0,102.0,LIRF_MMMX
8,LIRF,CYVR,POINT (12.239712 41.77354),POINT (-123.1788 49.1951),"LINESTRING (12.239712 41.77354, -123.1788 49.1951)",0.0,0.0,0.0,0.0,CYVR_LIRF
9,LIRF,EDDF,POINT (12.239712 41.77354),POINT (8.570600000000001 50.0333),"LINESTRING (12.239712 41.77354, 8.570600000000001 50.0333)",1.0,-0.0,-0.0,56.0,EDDF_LIRF
10,LIRF,KJFK,POINT (12.239712 41.77354),POINT (-73.77970000000001 40.6446),"LINESTRING (12.239712 41.77354, -73.77970000000001 40.6446)",0.0,0.0,1.0,139.0,KJFK_LIRF
11,LIRF,SBGL,POINT (12.239712 41.77354),POINT (-43.2566 -22.8053),"LINESTRING (12.239712 41.77354, -43.2566 -22.8053)",0.0,0.0,1.0,70.0,LIRF_SBGL
12,LIRF,LEMD,POINT (12.239712 41.77354),POINT (-3.5626 40.4719),"LINESTRING (12.239712 41.77354, -3.5626 40.4719)",-0.0,1.0,-0.0,102.0,LEMD_LIRF
13,LIRF,ZSPD,POINT (12.239712 41.77354),POINT (121.8083 31.1443),"LINESTRING (12.239712 41.77354, 121.8083 31.1443)",0.0,0.0,1.0,128.0,LIRF_ZSPD
14,LIRF,OMDB,POINT (12.239712 41.77354),POINT (55.3641 25.2566),"LINESTRING (12.239712 41.77354, 55.3641 25.2566)",0.0,1.0,-0.0,63.0,LIRF_OMDB
15,LIRF,LTFM,POINT (12.239712 41.77354),POINT (28.7425 41.2593),"LINESTRING (12.239712 41.77354, 28.7425 41.2593)",-0.0,1.0,-0.0,120.0,LIRF_LTFM
16,LIRF,ZBAA,POINT (12.239712 41.77354),POINT (116.6031 40.0799),"LINESTRING (12.239712 41.77354, 116.6031 40.0799)",0.0,0.0,1.0,102.0,LIRF_ZBAA
17,LIRF,VIDP,POINT (12.239712 41.77354),POINT (77.1006 28.5567),"LINESTRING (12.239712 41.77354, 77.1006 28.5567)",0.0,1.0,-0.0,120.0,LIRF_VIDP
18,LIRF,EFRO,POINT (12.239712 41.77354),POINT (25.8275 66.55800000000001),"LINESTRING (12.239712 41.77354, 25.8275 66.55800000000001)",0.0,0.0,0.0,0.0,EFRO_LIRF
19,LIRF,EHEH,POINT (12.239712 41.77354),POINT (5.3784 51.4505),"LINESTRING (12.239712 41.77354, 5.3784 51.4505)",1.0,-0.0,-0.0,24.0,EHEH_LIRF
20,LIRF,EFHK,POINT (12.239712 41.77354),POINT (24.9633 60.3172),"LINESTRING (12.239712 41.77354, 24.9633 60.3172)",1.0,-0.0,-0.0,56.0,EFHK_LIRF
21,LIRF,LDZA,POINT (12.239712 41.77354),POINT (16.0675 45.7407),"LINESTRING (12.239712 41.77354, 16.0675 45.7407)",1.0,-0.0,-0.0,46.0,LDZA_LIRF
22,LIRF,EBBR,POINT (12.239712 41.77354),POINT (4.4859 50.9002),"LINESTRING (12.239712 41.77354, 4.4859 50.9002)",1.0,-0.0,-0.0,56.0,EBBR_LIRF
23,LIRF,EIDW,POINT (12.239712 41.77354),POINT (-6.2701 53.4213),"LINESTRING (12.239712 41.77354, -6.2701 53.4213)",1.0,-0.0,-0.0,56.0,EIDW_LIRF
24,LIRF,LGAV,POINT (12.239712 41.77354),POINT (23.948 37.9362),"LINESTRING (12.239712 41.77354, 23.948 37.9362)",0.0,1.0,-0.0,76.0,LGAV_LIRF
25,LIRF,BIKF,POINT (12.239712 41.77354),POINT (-21.9466 64.1318),"LINESTRING (12.239712 41.77354, -21.9466 64.1318)",0.0,-0.0,-0.0,-0.0,BIKF_LIRF
26,LIRF,EETN,POINT (12.239712 41.77354),POINT (24.8165 59.4144),"LINESTRING (12.239712 41.77354, 24.8165 59.4144)",1.0,-0.0,-0.0,25.0,EETN_LIRF
27,LIRF,LKPR,POINT (12.239712 41.77354),POINT (14.2632 50.1018),"LINESTRING (12.239712 41.77354, 14.2632 50.1018)",1.0,-0.0,-0.0,56.0,LIRF_LKPR
28,LIRF,FACT,POINT (12.239712 41.77354),POINT (18.6021 -33.9715),"LINESTRING (12.239712 41.77354, 18.6021 -33.9715)",0.0,0.0,0.0,0.0,FACT_LIRF
29,LIRF,ESSA,POINT (12.239712 41.77354),POINT (17.9186 59.6519),"LINESTRING (12.239712 41.77354, 17.9186 59.6519)",1.0,-0.0,-0.0,56.0,ESSA_LIRF
30,LIRF,EGPH,POINT (12.239712 41.77354),POINT (-3.3725 55.95),"LINESTRING (12.239712 41.77354, -3.3725 55.95)",1.0,-0.0,-0.0,29.0,EGPH_LIRF
31,LIRF,LFQQ,POINT (12.239712 41.77354),POINT (3.1025 50.5669),"LINESTRING (12.239712 41.77354, 3.1025 50.5669)",1.0,-0.0,-0.0,53.0,LFQQ_LIRF
32,LIRF,LPPT,POINT (12.239712 41.77354),POINT (-9.135899999999999 38.7813),"LINESTRING (12.239712 41.77354, -9.135899999999999 38.7813)",1.0,-0.0,-0.0,54.0,LIRF_LPPT
33,EDDT,LIRF,POINT (13.2877 52.5597),POINT (12.239712 41.77354),"LINESTRING (13.2877 52.5597, 12.239712 41.77354)",-0.0,1.0,-0.0,94.0,EDDT_LIRF
35,EDDT,RJAA,POINT (13.2877 52.5597),POINT (140.3843 35.7702),"LINESTRING (13.2877 52.5597, 140.3843 35.7702)",0.0,0.0,1.0,156.0,EDDT_RJAA
36,EDDT,EDDM,POINT (13.2877 52.5597),POINT (11.7861 48.3538),"LINESTRING (13.2877 52.5597, 11.7861 48.3538)",2.0,-0.0,-0.0,106.0,EDDM_EDDT
37,EDDT,LFPG,POINT (13.2877 52.5597),POINT (2.55 49.0128),"LINESTRING (13.2877 52.5597, 2.55 49.0128)",0.0,2.0,-0.0,197.0,EDDT_LFPG
38,EDDT,SAEZ,POINT (13.2877 52.5597),POINT (-58.5373 -34.8165),"LINESTRING (13.2877 52.5597, -58.5373 -34.8165)",0.0,0.0,0.0,0.0,EDDT_SAEZ
39,EDDT,CYYZ,POINT (13.2877 52.5597),POINT (-79.61450000000001 43.6817),"LINESTRING (13.2877 52.5597, -79.61450000000001 43.6817)",0.0,0.0,0.0,0.0,CYYZ_EDDT
40,EDDT,MMMX,POINT (13.2877 52.5597),POINT (-99.0719 19.4361),"LINESTRING (13.2877 52.5597, -99.0719 19.4361)",0.0,0.0,-0.0,-0.0,EDDT_MMMX
41,EDDT,CYVR,POINT (13.2877 52.5597),POINT (-123.1788 49.1951),"LINESTRING (13.2877 52.5597, -123.1788 49.1951)",0.0,0.0,0.0,0.0,CYVR_EDDT
42,EDDT,EDDF,POINT (13.2877 52.5597),POINT (8.570600000000001 50.0333),"LINESTRING (13.2877 52.5597, 8.570600000000001 50.0333)",2.0,-0.0,-0.0,103.0,EDDF_EDDT
43,EDDT,KJFK,POINT (13.2877 52.5597),POINT (-73.77970000000001 40.6446),"LINESTRING (13.2877 52.5597, -73.77970000000001 40.6446)",0.0,0.0,1.0,140.0,EDDT_KJFK
44,EDDT,SBGL,POINT (13.2877 52.5597),POINT (-43.2566 -22.8053),"LINESTRING (13.2877 52.5597, -43.2566 -22.8053)",0.0,0.0,-0.0,-0.0,EDDT_SBGL
45,EDDT,LEMD,POINT (13.2877 52.5597),POINT (-3.5626 40.4719),"LINESTRING (13.2877 52.5597, -3.5626 40.4719)",-0.0,1.0,-0.0,97.0,EDDT_LEMD
46,EDDT,ZSPD,POINT (13.2877 52.5597),POINT (121.8083 31.1443),"LINESTRING (13.2877 52.5597, 121.8083 31.1443)",0.0,0.0,1.0,125.0,EDDT_ZSPD
47,EDDT,OMDB,POINT (13.2877 52.5597),POINT (55.3641 25.2566),"LINESTRING (13.2877 52.5597, 55.3641 25.2566)",0.0,1.0,-0.0,61.0,EDDT_OMDB
48,EDDT,LTFM,POINT (13.2877 52.5597),POINT (28.7425 41.2593),"LINESTRING (13.2877 52.5597, 28.7425 41.2593)",-0.0,1.0,-0.0,119.0,EDDT_LTFM
49,EDDT,ZBAA,POINT (13.2877 52.5597),POINT (116.6031 40.0799),"LINESTRING (13.2877 52.5597, 116.6031 40.0799)",0.0,0.0,1.0,121.0,EDDT_ZBAA
50,EDDT,VIDP,POINT (13.2877 52.5597),POINT (77.1006 28.5567),"LINESTRING (13.2877 52.5597, 77.1006 28.5567)",0.0,1.0,-0.0,120.0,EDDT_VIDP
51,EDDT,EFRO,POINT (13.2877 52.5597),POINT (25.8275 66.55800000000001),"LINESTRING (13.2877 52.5597, 25.8275 66.55800000000001)",0.0,0.0,0.0,0.0,EDDT_EFRO
