,ICAO Code_origin,ICAO Code_destination,City Name_origin,City Name_destination,Origin,Destination,Direct_flights,Transfer_flights,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Direct_pax,Transfering_pax,OD_pair,Total pax,Total flights
1,LIRF,EDDT,Rome,Berlin,POINT (12.239712 41.77354),POINT (13.2877 52.5597),"LINESTRING (12.239712 41.77354, 13.2877 52.5597)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 13.2877 52.5597)",-0.0,-0.0,0.0,-0.0,0,EDDT_LIRF,0.0,0.0
2,LIRF,RJAA,Rome,Tokyo,POINT (12.239712 41.77354),POINT (140.3843 35.7702),"LINESTRING (12.239712 41.77354, 140.3843 35.7702)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 140.3843 35.7702)",0.0,0.0,0.0,0.0,0,LIRF_RJAA,0.0,0.0
3,LIRF,EDDM,Rome,Munich,POINT (12.239712 41.77354),POINT (11.7861 48.3538),"LINESTRING (12.239712 41.77354, 11.7861 48.3538)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 11.7861 48.3538)",1.0,-0.0,0.0,56.0,0,EDDM_LIRF,56.0,1.0
4,LIRF,LFPG,Rome,Paris,POINT (12.239712 41.77354),POINT (2.55 49.0128),"LINESTRING (12.239712 41.77354, 2.55 49.0128)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 2.55 49.0128)",-0.0,4.0,0.0,181.0,299,LFPG_LIRF,480.0,4.0
5,LIRF,SAEZ,Rome,Buenos Aires,POINT (12.239712 41.77354),POINT (-58.5373 -34.8165),"LINESTRING (12.239712 41.77354, -58.5373 -34.8165)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -58.5373 -34.8165)",0.0,0.0,0.0,0.0,0,LIRF_SAEZ,0.0,0.0
6,LIRF,CYYZ,Rome,Toronto,POINT (12.239712 41.77354),POINT (-79.6145 43.6817),"LINESTRING (12.239712 41.77354, -79.6145 43.6817)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -79.6145 43.6817)",0.0,0.0,0.0,0.0,0,CYYZ_LIRF,0.0,0.0
7,LIRF,MMMX,Rome,Mexico city,POINT (12.239712 41.77354),POINT (-99.0719 19.4361),"LINESTRING (12.239712 41.77354, -99.0719 19.4361)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -99.0719 19.4361)",0.0,0.0,0.0,0.0,0,LIRF_MMMX,0.0,0.0
8,LIRF,CYVR,Rome,Vancouver,POINT (12.239712 41.77354),POINT (-123.1788 49.1951),"LINESTRING (12.239712 41.77354, -123.1788 49.1951)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -123.1788 49.1951)",0.0,0.0,0.0,0.0,0,CYVR_LIRF,0.0,0.0
9,LIRF,EDDF,Rome,Frankfurt,POINT (12.239712 41.77354),POINT (8.5706 50.0333),"LINESTRING (12.239712 41.77354, 8.5706 50.0333)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 8.5706 50.0333)",-0.0,-0.0,0.0,-0.0,0,EDDF_LIRF,0.0,0.0
10,LIRF,KJFK,Rome,New York,POINT (12.239712 41.77354),POINT (-73.7797 40.6446),"LINESTRING (12.239712 41.77354, -73.7797 40.6446)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -73.7797 40.6446)",0.0,0.0,0.0,0.0,0,KJFK_LIRF,0.0,0.0
11,LIRF,SBGL,Rome,Rio de Janeiro,POINT (12.239712 41.77354),POINT (-43.2566 -22.8053),"LINESTRING (12.239712 41.77354, -43.2566 -22.8053)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -43.2566 -22.8053)",0.0,0.0,0.0,0.0,0,LIRF_SBGL,0.0,0.0
