,OD_pair,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Direct_pax,Transfering_pax,Total pax,Total flights,City A,City B,Origin,Destination,Direct_flights,Transfer_flights
0,BIKF_CYVR,0.0,0.0,0.0,0.0,0,0.0,0.0,Vancouver,Reykjavik,POINT (-123.1788 49.1951),POINT (-21.9466 64.1318),"LINESTRING (-123.1788 49.1951, -21.9466 64.1318)","LINESTRING (-123.1788 49.1951, 12.239712 41.77354, -21.9466 64.1318)"
1,BIKF_CYYZ,0.0,0.0,0.0,0.0,0,0.0,0.0,Toronto,Reykjavik,POINT (-79.6145 43.6817),POINT (-21.9466 64.1318),"LINESTRING (-79.6145 43.6817, -21.9466 64.1318)","LINESTRING (-79.6145 43.6817, 12.239712 41.77354, -21.9466 64.1318)"
2,BIKF_EBBR,0.0,0.0,0.0,0.0,0,0.0,0.0,Brussels,Reykjavik,POINT (4.4859 50.9002),POINT (-21.9466 64.1318),"LINESTRING (4.4859 50.9002, -21.9466 64.1318)","LINESTRING (4.4859 50.9002, 12.239712 41.77354, -21.9466 64.1318)"
3,BIKF_EDDF,0.0,0.0,0.0,0.0,0,0.0,0.0,Frankfurt,Reykjavik,POINT (8.5706 50.0333),POINT (-21.9466 64.1318),"LINESTRING (8.5706 50.0333, -21.9466 64.1318)","LINESTRING (8.5706 50.0333, 12.239712 41.77354, -21.9466 64.1318)"
4,BIKF_EDDM,0.0,0.0,0.0,0.0,0,0.0,0.0,Munich,Reykjavik,POINT (11.7861 48.3538),POINT (-21.9466 64.1318),"LINESTRING (11.7861 48.3538, -21.9466 64.1318)","LINESTRING (11.7861 48.3538, 12.239712 41.77354, -21.9466 64.1318)"
5,BIKF_EDDT,0.0,0.0,0.0,0.0,0,0.0,0.0,Berlin,Reykjavik,POINT (13.2877 52.5597),POINT (-21.9466 64.1318),"LINESTRING (13.2877 52.5597, -21.9466 64.1318)","LINESTRING (13.2877 52.5597, 12.239712 41.77354, -21.9466 64.1318)"
6,BIKF_EETN,0.0,0.0,0.0,0.0,0,0.0,0.0,Reykjavik,Tallinn,POINT (-21.9466 64.1318),POINT (24.8165 59.4144),"LINESTRING (-21.9466 64.1318, 24.8165 59.4144)","LINESTRING (-21.9466 64.1318, 12.239712 41.77354, 24.8165 59.4144)"
7,BIKF_EFHK,0.0,0.0,0.0,0.0,0,0.0,0.0,Helsinki,Reykjavik,POINT (24.9633 60.3172),POINT (-21.9466 64.1318),"LINESTRING (24.9633 60.3172, -21.9466 64.1318)","LINESTRING (24.9633 60.3172, 12.239712 41.77354, -21.9466 64.1318)"
8,BIKF_EFRO,0.0,0.0,0.0,0.0,0,0.0,0.0,Rovaniemi,Reykjavik,POINT (25.8275 66.558),POINT (-21.9466 64.1318),"LINESTRING (25.8275 66.558, -21.9466 64.1318)","LINESTRING (25.8275 66.558, 12.239712 41.77354, -21.9466 64.1318)"
9,BIKF_EGPH,0.0,0.0,0.0,0.0,0,0.0,0.0,Reykjavik,Edinburgh,POINT (-21.9466 64.1318),POINT (-3.3725 55.95),"LINESTRING (-21.9466 64.1318, -3.3725 55.95)","LINESTRING (-21.9466 64.1318, 12.239712 41.77354, -3.3725 55.95)"
