,Origin,Destination,Total_pax,Connected_at
0,LIRF,LIRF,-0.0,LIRF
1,LIRF,EDDT,0.0,LIRF
2,LIRF,RJAA,0.0,LIRF
3,LIRF,EDDM,0.0,LIRF
4,LIRF,LFPG,0.0,LIRF
5,LIRF,SAEZ,0.0,LIRF
6,LIRF,CYYZ,0.0,LIRF
7,LIRF,MMMX,0.0,LIRF
8,LIRF,CYVR,0.0,LIRF
9,LIRF,EDDF,0.0,LIRF
10,LIRF,KJFK,0.0,LIRF
11,LIRF,SBGL,0.0,LIRF
12,LIRF,LEMD,0.0,LIRF
13,LIRF,ZSPD,0.0,LIRF
14,LIRF,OMDB,0.0,LIRF
15,LIRF,LTFM,0.0,LIRF
16,LIRF,ZBAA,0.0,LIRF
17,LIRF,VIDP,0.0,LIRF
18,LIRF,EFRO,0.0,LIRF
19,LIRF,EHEH,0.0,LIRF
20,LIRF,EFHK,0.0,LIRF
21,LIRF,LDZA,0.0,LIRF
22,LIRF,EBBR,0.0,LIRF
23,LIRF,EIDW,0.0,LIRF
24,LIRF,LGAV,0.0,LIRF
25,LIRF,BIKF,0.0,LIRF
26,LIRF,EETN,0.0,LIRF
27,LIRF,LKPR,0.0,LIRF
28,LIRF,FACT,0.0,LIRF
29,LIRF,ESSA,0.0,LIRF
30,LIRF,EGPH,0.0,LIRF
31,LIRF,LFQQ,0.0,LIRF
32,LIRF,LPPT,0.0,LIRF
33,EDDT,LIRF,0.0,LIRF
34,EDDT,EDDT,-0.0,LIRF
35,EDDT,RJAA,0.0,LIRF
36,EDDT,EDDM,0.0,LIRF
37,EDDT,LFPG,0.0,LIRF
38,EDDT,SAEZ,0.0,LIRF
39,EDDT,CYYZ,0.0,LIRF
40,EDDT,MMMX,0.0,LIRF
41,EDDT,CYVR,0.0,LIRF
42,EDDT,EDDF,0.0,LIRF
43,EDDT,KJFK,0.0,LIRF
44,EDDT,SBGL,0.0,LIRF
45,EDDT,LEMD,0.0,LIRF
46,EDDT,ZSPD,0.0,LIRF
47,EDDT,OMDB,0.0,LIRF
48,EDDT,LTFM,0.0,LIRF
49,EDDT,ZBAA,0.0,LIRF
50,EDDT,VIDP,0.0,LIRF
51,EDDT,EFRO,0.0,LIRF
52,EDDT,EHEH,0.0,LIRF
53,EDDT,EFHK,0.0,LIRF
54,EDDT,LDZA,0.0,LIRF
55,EDDT,EBBR,0.0,LIRF
56,EDDT,EIDW,0.0,LIRF
57,EDDT,LGAV,0.0,LIRF
58,EDDT,BIKF,0.0,LIRF
59,EDDT,EETN,0.0,LIRF
60,EDDT,LKPR,0.0,LIRF
61,EDDT,FACT,0.0,LIRF
62,EDDT,ESSA,0.0,LIRF
63,EDDT,EGPH,0.0,LIRF
64,EDDT,LFQQ,0.0,LIRF
